,name,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002
3,GrossProfit,,,,,,,,,0,,,,,,,,,,
4,OperatingExpense,"3,260,000","5,018,000","6,294,000","11,720,000","20,901,000","11,868,000","12,025,000","11,088,000","13,020,000","-9,374,514.50","43,427,294.70","58,634,645.30","17,933,126.40","-2,013,021","6,788,868.77","2,459,515.62","1,073,703.37","781,159.49","507,419.67"
5,"	SellingGeneralAndAdministration","3,260,000","5,018,000","6,294,000","11,720,000","9,085,000","11,868,000","12,025,000","11,088,000","9,452,000","13,218,000","12,399,000","9,828,000","16,287,000","14,837,426.95","6,788,868.77","2,459,515.62","1,073,703.37","781,159.49",
6,"		GeneralAndAdministrativeExpense","3,260,000","5,018,000","6,294,000","11,720,000","9,085,000","11,868,000","12,025,000","11,088,000","9,452,000","13,218,000","12,399,000","9,828,000","16,287,000","14,837,426.95","6,788,868.77","2,459,515.62","1,073,703.37","781,159.49",
7,"			RentAndLandingFees",,,,,,,,,,"308,256","284,259","311,037.30","272,739.60","260,910","134,890.43",,,,
8,"	ResearchAndDevelopment",,,,,,,,,,"41,704,000",,,,,,,,,
9,"	OtherOperatingExpenses",,,,0,"11,816,000",,0,0,"3,568,000","-10,145,154.50","42,646,330.50","57,829,898","17,106,944.40","-2,627,163","6,417,458.15","2,416,523.36",,,
10,OperatingIncome,"-3,260,000","-5,018,000","-6,294,000","-11,720,000","-20,901,000","-11,868,000","-12,025,000","-11,088,000","-13,020,000","9,374,514.50","-43,427,294.70","-58,634,645.30","-17,933,126.40","2,013,021","-6,788,868.77","-2,459,515.62","-1,073,703.37","-781,159.49","-507,419.67"
11,NetNonOperatingInterestIncomeExpense,"83,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","764,000","698,392.50","852,777","1,324,788.50","3,694,924.80","5,091,759","3,113,566.65","-1,359,630.27","-3,961,783.44","-142,329.91","35,258.77"
12,"	InterestIncomeNonOperating","86,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","765,000","699,998","854,273.10","1,328,079.90","3,704,878.80","5,107,815","3,117,262.28","917,168.24","12,738.85","1,655.00","35,258.77"
13,"	InterestExpenseNonOperating","3,000",,"748,000",,0,"2,380,000","1,737,000",0,"1,000","1,605.50","1,496.10","3,291.40","9,954","16,056","3,695.63","2,276,798.51","3,974,522.29","143,984.91",
14,"	TotalOtherFinanceCost",,,"748,000",,,,,,,,,,,,,,0,,
15,PretaxIncome,"-2,625,000","-66,567,000","-7,042,000","-53,692,000","-129,269,000","-90,019,000","-13,602,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
16,TaxProvision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,NetIncomeCommonStockholders,"-2,625,000","-66,567,000","-7,042,000","-53,692,000","-125,632,000","-89,859,000","-13,500,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
18,"	NetIncome","-2,625,000","-66,567,000","-7,042,000","-53,692,000","-125,632,000","-89,859,000","-13,500,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
19,"		NetIncomeIncludingNoncontrollingInterests","-2,625,000","-66,567,000","-7,042,000","-53,692,000","-129,269,000","-90,019,000","-13,602,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
20,"			NetIncomeContinuousOperations","-2,625,000","-66,567,000","-7,042,000","-53,692,000","-129,269,000","-90,019,000","-13,602,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
21,"		MinorityInterests",,,,0,"3,637,000","160,000","102,000",,,,,,,,,,,,
22,"	OtherunderPreferredStockDividend",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
