,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985,ttm
20,				LandAndImprovements,"28,261,000","33,931,000","43,187,000","52,000,000","46,319,000","19,757,000","63,311,000","63,733,000","49,965,000","22,120,000","12,087,000","9,251,000","22,958,000","528,281,000","373,488,000","22,413,000","15,821,000","12,037,000","15,203,000","14,756,000",,,,,,,,,,,,,,,,,
21,				BuildingsAndImprovements,"141,365,000","132,603,000","123,619,000","134,318,000","115,502,000","126,285,000","165,826,000","163,962,000","154,878,000","132,753,000","122,635,000","93,874,000","79,094,000","84,000,000","74,048,000","40,271,000","31,394,000","26,703,000","30,177,000","25,541,000",,,,,,,,,,,,,,,,,
22,				MachineryFurnitureEquipment,,"192,081,000",0,"4,377,000","181,069,000","10,271,000","14,123,000","14,062,000","14,054,000","12,627,851,000","695,868,000","735,907,000","9,764,810,000","8,109,177,000","6,360,335,000","4,991,585,000","4,326,440,000","3,813,933,000","31,319,000","3,096,425,000",,,,,,,,,,,,,,,,,
23,				OtherProperties,"12,943,014,000","13,423,697,000","13,498,183,000","13,454,814,000","13,106,241,000","12,722,722,000","14,402,481,000","14,309,399,000","13,853,828,000",,,"752,809,000",,,,"195,146,000","301,677,000","244,337,000","3,560,256,000",,,,,,,,,,,,,,,,,,
24,				ConstructionInProgress,0,"25,391,000","30,395,000","284,348,000","288,673,000","457,422,000","781,374,000","693,475,000","363,537,000","815,987,000","349,455,000","314,493,000","444,878,000","477,343,000","625,719,000","332,779,000",,,,,,,,,,,,,,,,,,,,,
25,			AccumulatedDepreciation,"-9,126,933,000","-8,685,073,000","-8,227,514,000","-7,820,292,000","-7,289,152,000","-6,308,655,000","-6,827,990,000","-6,646,818,000","-5,724,174,000","-4,968,765,000","-4,675,546,000","-3,789,624,000","-3,029,698,000","-2,509,675,000","-2,023,489,000","-1,695,270,000","-1,399,837,000","-1,106,218,000","-855,905,000","-703,475,000","-596,094,000","-482,900,000","-401,600,000","-315,600,000","-250,900,000","-212,400,000","-172,700,000","-140,600,000","-126,400,000","-114,600,000","-107,100,000","-117,300,000","-131,800,000","-189,300,000","-122,300,000","-113,000,000",
26,		GoodwillAndOtherIntangibleAssets,0,"28,380,000","183,914,000","173,226,000","166,917,000","166,659,000","173,928,000","512,964,000","472,326,000","501,258,000","494,372,000","164,265,000","175,749,000","368,432,000","362,269,000","341,939,000","327,225,000","336,027,000","306,762,000","199,048,000","192,181,000","169,100,000",,,,,,,,,,,,,,,
27,			Goodwill,0,"28,380,000","183,914,000","173,226,000","166,917,000","166,659,000","173,928,000","512,964,000","472,326,000","501,258,000","494,372,000","164,265,000","175,749,000","368,432,000","362,269,000",,,,,,,,,,,,,,,,,,,,,,
28,			OtherIntangibleAssets,,,,,,,,,,,,,,,,"341,939,000","327,225,000","336,027,000","306,762,000","199,048,000","192,181,000","169,100,000",,,,,,,,,,,,,,,
29,		InvestmentsAndAdvances,,,,,"893,000","415,177,000","61,057,000","67,496,000","65,959,000","382,145,000","308,023,000","407,490,000",,,,,,,,,,,,,,,,,,,,,,,,,
30,			LongTermEquityInvestment,,,,,"893,000","415,177,000","58,251,000","64,260,000","61,690,000","371,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
31,				InvestmentsinAssociatesatCost,,,,,"893,000","415,177,000","58,251,000","64,260,000","61,690,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,"371,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,				InvestmentsinJointVenturesatCost,,,,,,,,,,"371,021,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,			InvestmentinFinancialAssets,,,,,,,"2,806,000","3,236,000","4,269,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,			OtherInvestments,,,,,,,,,,"11,124,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,		NonCurrentDeferredAssets,"247,171,000","305,844,000","345,091,000","419,003,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,			NonCurrentDeferredTaxesAssets,"247,171,000","305,844,000","345,091,000","419,003,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,		OtherNonCurrentAssets,"139,085,000","247,219,000","263,506,000","252,854,000","595,783,000","452,305,000","303,958,000","227,708,000","272,792,000","310,477,000","415,825,000","250,221,000","843,598,000","840,712,000","865,077,000","384,236,000","678,915,000","760,226,000","606,152,000","488,674,000","104,977,000","98,100,000","57,500,000","67,000,000","31,600,000","16,400,000","28,500,000","7,800,000","8,600,000","11,000,000","26,800,000","5,600,000","4,800,000","500,000","300,000","300,000",
