,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
26,"	NetIncome","-3,978,459,000","-700,590,000","-885,050,000","-516,511,000","-929,580,000","511,000,000","8,491,000","782,697,000","522,344,000","370,898,000","773,429,000","1,678,642,000","1,560,995,000","1,206,011,000","731,866,000","296,696,000","146,086,000","166,416,000","209,503,000","262,922,000","165,554,000","84,500,000","162,000,000","257,200,000","78,600,000","1,600,000","21,500,000","20,900,000","-11,500,000","-15,200,000","-8,800,000","-10,500,000","-8,400,000","-10,100,000","-44,000,000","-16,500,000"
27,"		NetIncomeIncludingNoncontrollingInterests","-3,978,459,000","-874,366,000","-1,130,535,000","-493,927,000","-857,873,000","583,201,000","83,316,000","850,406,000","556,137,000","363,625,000","773,432,000","1,678,642,000","1,560,995,000","1,206,011,000","731,866,000","296,696,000","146,086,000","166,416,000","209,503,000","262,922,000","165,554,000","83,300,000","162,000,000","256,900,000","78,200,000","1,400,000","21,300,000","20,700,000","-11,500,000","-15,100,000","-9,000,000","-10,500,000","-8,400,000","-10,100,000","-44,000,000","-16,500,000"
28,"			NetIncomeContinuousOperations","-3,978,459,000","-870,545,000","-1,130,535,000","-492,441,000","-857,873,000","583,201,000","-77,186,000","850,406,000","556,137,000","363,625,000","773,432,000","1,678,642,000","1,560,995,000","1,206,011,000","731,866,000","296,696,000","146,086,000","166,416,000","209,503,000","263,910,000","165,554,000","95,300,000","162,000,000","263,900,000","79,300,000","1,600,000","21,500,000","19,100,000","-8,100,000","-13,400,000","-8,800,000","-10,500,000","-8,400,000","-10,100,000","-44,000,000","-16,500,000"
29,"			NetIncomeDiscontinuousOperations",0,"-3,821,000",0,"-1,486,000",0,,"160,502,000",,,,,,,,,,,,,,,,,,,,,,"-3,400,000","-1,800,000",,,,,,
30,"			NetIncomeFromTaxLossCarryforward",,,,,,,,,,,,,,,,,,,,"-988,000",,"-10,800,000",,"-6,700,000","-700,000",,,"1,800,000",,,,,,,,
31,"		MinorityInterests",0,"173,776,000","245,485,000","-22,584,000","-71,707,000","-72,201,000","-74,825,000","-67,709,000","-33,793,000","7,273,000","-3,000",,,,,,,,,,,"1,200,000",,"300,000","400,000","200,000","200,000","200,000",,"-100,000","200,000",,,,,
32,"	PreferredStockDividends",,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","7,200,000","12,800,000","6,700,000","6,700,000","700,000",,,,,,
33,"	OtherunderPreferredStockDividend",,,,"-1,486,000",0,"11,208,000",0,"9,271,000","5,309,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AverageDilutionEarnings,,,,0,,0,0,"10,000","7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
35,DilutedNIAvailtoComStockholders,"-3,978,459,000","-700,590,000","-885,050,000","-515,025,000","-929,580,000","499,792,000","8,491,000","773,436,000","517,042,000","370,898,000","773,429,000","1,678,642,000","1,560,995,000","1,206,011,000","731,866,000","296,696,000","146,086,000","166,416,000","209,503,000","262,922,000","165,554,000","84,500,000","162,000,000","257,200,000","72,600,000","-5,600,000","8,700,000","14,200,000","-18,200,000","-15,900,000","-8,800,000","-10,500,000","-8,400,000","-10,100,000","-44,000,000","-16,500,000"
