,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
10,"			TaxesReceivable","290,000","1,515,000","1,994,000","3,546,000","17,208,000","4,947,000","15,841,000","8,572,000",,,,"6,426,000",,,,,,,,,,,,,,,,
11,"			OtherReceivables","41,757,000","51,599,000",,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0
12,"		Inventory","52,679,000","47,292,000","58,175,000","92,424,000","48,850,000","71,806,000","64,862,000","66,847,000","76,345,000","42,109,000","67,851,000","61,031,000","60,824,000","89,752,000","77,228,000","52,464,000","44,527,000","38,988,000","36,784,000","28,310,000","31,899,000","13,700,000","12,400,000","4,900,000","4,900,000","3,800,000","3,000,000","2,100,000"
13,"		RestrictedCash",,0,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"		CurrentDeferredAssets",,,,,,,,,,,0,"377,000","1,040,000","2,367,000","11,010,000","20,534,000","7,822,000",,,,,,,,,,,
15,"			CurrentDeferredTaxesAssets",,,,,,,,,,,0,"377,000","1,040,000","2,367,000","11,010,000","20,534,000","7,822,000",,,,,,,,,,,
16,"		AssetsHeldForSaleCurrent",0,"18,806,000","18,806,000",,,,,,,,,,,,,,,,,,,,,,,,,
17,"		OtherCurrentAssets",,,,,,,,,,"39,869,000",,,,,,,,,,,,,,"-100,000",,,,
18,"	TotalNonCurrentAssets","2,792,931,000","3,102,326,000","3,378,714,000","2,597,966,000","2,913,153,000","3,265,580,000","3,124,927,000","2,792,611,000","2,538,264,000","2,486,379,000","1,755,712,000","1,682,751,000","1,710,581,000","1,390,780,000","1,294,266,000","1,030,242,000","809,368,000","740,978,000","643,004,000","433,311,000","386,564,000","337,200,000","311,500,000","180,300,000","142,400,000","62,900,000","62,500,000","37,300,000"
19,"		NetPPE","2,649,702,000","2,855,223,000","3,201,704,000","2,597,966,000","2,913,153,000","3,265,580,000","3,124,927,000","2,788,331,000","2,533,243,000","2,479,618,000","1,749,121,000","1,675,144,000","1,710,581,000","1,390,780,000","1,294,266,000","1,030,242,000","809,368,000","740,978,000","643,004,000","432,637,000","385,636,000","336,100,000","310,200,000","177,600,000","138,900,000","62,100,000","61,600,000","36,500,000"
20,"			GrossPPE","6,048,232,000","5,954,326,000","6,214,538,000","5,100,844,000","5,166,561,000","5,368,712,000","4,724,824,000","4,118,184,000","3,606,503,000","3,378,433,000","2,480,408,000","2,305,715,000","2,284,498,000","1,854,460,000","1,684,831,000","1,363,317,000","1,079,457,000","978,024,000","853,644,000","607,757,000","530,307,000","420,500,000","384,500,000","233,200,000","182,600,000","99,500,000","94,700,000","66,400,000"
21,"				Properties","5,921,783,000","5,827,063,000","6,074,384,000","4,971,986,000","5,043,858,000","5,222,019,000","4,591,833,000","3,997,414,000","3,488,887,000",0,0,0,"36,186,000","29,209,000","28,709,000","22,677,000","14,151,000","12,988,000","9,825,000","6,466,000",,,,,,,,
22,"				LandAndImprovements",,,,"69,467,000","72,045,000","73,831,000","65,981,000","56,095,000","44,188,000","42,833,000","35,708,000","36,746,000",,,,,,,,,,,,,,,,
23,"				MachineryFurnitureEquipment","126,449,000","127,263,000","140,154,000","128,858,000","122,703,000","146,693,000","132,991,000","120,770,000","117,616,000","3,335,600,000","2,444,700,000","2,268,969,000","2,248,312,000","1,825,251,000","1,656,122,000","1,340,640,000","1,065,306,000","965,036,000","843,819,000","567,803,000",,,,,,,,
24,"				OtherProperties",,,,,,,,,,,,,,,,,,,,"33,488,000",,,,,,,,
25,"			AccumulatedDepreciation","-3,398,530,000","-3,099,103,000","-3,012,834,000","-2,502,878,000","-2,253,408,000","-2,103,132,000","-1,599,897,000","-1,329,853,000","-1,073,260,000","-898,815,000","-731,287,000","-630,571,000","-573,917,000","-463,680,000","-390,565,000","-333,075,000","-270,089,000","-237,046,000","-210,640,000","-175,120,000","-144,671,000","-84,400,000","-74,300,000","-55,600,000","-43,700,000","-37,400,000","-33,100,000","-29,900,000"
26,"		InvestmentsAndAdvances",0,"125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
27,"			LongTermEquityInvestment",0,"125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
28,"				InvestmentsinJointVenturesatCost",0,"125,355,000","177,010,000",,,,,,,,,,,,,,,,,,,,,,,,,
29,"		NonCurrentNoteReceivables",,,,,,,0,"4,280,000","5,021,000","6,761,000","6,591,000","7,607,000",,,,,,,,,,,,,,,,
30,"		NonCurrentDeferredAssets","143,229,000","121,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,
31,"			NonCurrentDeferredTaxesAssets","143,229,000","121,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,
32,"		OtherNonCurrentAssets",,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,"674,000","928,000","1,100,000","1,300,000","2,700,000","3,500,000","800,000","900,000","800,000"
33,TotalLiabilitiesNetMinorityInterest,"1,689,469,000","2,007,579,000","2,103,425,000","1,269,089,000","1,381,906,000","1,511,544,000","1,678,208,000","1,425,109,000","1,213,019,000","1,324,691,000","673,380,000","597,293,000","677,685,000","542,354,000","654,544,000","750,437,000","489,500,000","464,633,000","392,326,000","210,975,000","267,972,000","232,700,000","154,400,000","188,000,000","150,300,000","49,200,000","66,900,000","40,800,000"
34,"	CurrentLiabilities","162,950,000","241,288,000","671,617,000","702,698,000","312,395,000","188,321,000","408,820,000","666,213,000","518,852,000","571,967,000","392,579,000","337,445,000","411,231,000","335,508,000","404,721,000","503,975,000","315,663,000","307,025,000","258,396,000","123,235,000","168,245,000","114,600,000","61,200,000","127,100,000","96,800,000","33,900,000","52,300,000","30,100,000"
35,"		PayablesAndAccruedExpenses","133,448,000","220,741,000","270,647,000","189,833,000","146,594,000","161,587,000","374,040,000","305,440,000","269,921,000","317,122,000","233,210,000","168,441,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
36,"			Payables","43,899,000","81,796,000","140,439,000","133,057,000","77,582,000","82,105,000","182,512,000","171,687,000","152,752,000","317,122,000","233,210,000","167,063,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
37,"				AccountsPayable","35,470,000","67,520,000","117,783,000","110,789,000","58,705,000","63,738,000","164,145,000","153,668,000","124,702,000","289,541,000","212,865,000","153,660,000","236,084,000","177,595,000","241,976,000","246,684,000","170,496,000","174,524,000","130,030,000","88,982,000","148,745,000","74,500,000","43,600,000","105,300,000","54,400,000","23,300,000","42,600,000","18,700,000"
38,"				TotalTaxPayable","8,429,000","4,489,000","3,807,000","3,419,000",,,,0,"11,197,000","11,494,000","5,798,000",,,,,,,,,,,,,,,,,
39,"					IncomeTaxPayable","8,429,000","4,489,000","3,807,000","3,419,000",,,,0,"11,197,000","11,494,000","5,798,000",,,,,,,,,,,,,,,,,
40,"				DividendsPayable",0,"9,787,000","18,849,000","18,849,000","18,877,000","18,367,000","18,367,000","18,019,000","16,853,000","16,087,000","14,547,000","13,403,000",,,,,,,,,,,,,,,,
41,"				OtherPayable",,,,"8,008,000","1,860,000",0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0
42,"			CurrentAccruedExpenses","89,549,000","138,945,000","130,208,000","56,776,000","69,012,000","79,482,000","191,528,000","133,753,000","117,169,000",,,"1,378,000",,,,,,,,,,,,,,,,
43,"				InterestPayable","14,169,000","16,094,000","24,383,000","892,000","1,362,000","1,377,000","1,154,000","1,058,000","990,000",,,,,,,,,,,,,,,,,,,
44,"		PensionandOtherPostRetirementBenefitPlansCurrent","251,000","297,000","975,000","3,021,000","5,943,000","2,073,000","1,895,000","14,522,000","14,200,000","16,405,000",,,,,,,,,,,,,,,,,,
45,"		CurrentDebtAndCapitalLeaseObligation","8,259,000","9,996,000","376,612,000","487,257,000","134,190,000",,,"326,525,000","231,990,000","238,440,000","159,335,000","169,004,000","169,443,000","117,969,000","69,989,000","165,779,000","96,937,000","121,911,000","121,927,000","15,443,000","19,500,000",,"17,600,000","21,900,000","42,400,000","10,600,000","9,600,000","11,400,000"
46,"			CurrentDebt",,,"376,612,000","487,257,000","134,190,000",,0,"326,525,000","231,990,000","238,440,000","159,335,000","169,004,000","169,443,000","117,969,000","69,989,000","165,779,000","96,937,000","121,911,000","121,927,000","15,443,000","19,500,000",,"17,600,000","21,900,000","42,400,000","10,600,000","9,600,000","11,400,000"
47,"				LineOfCredit",,,,,,,0,"326,525,000","231,990,000","238,440,000","159,335,000","169,004,000",,,,,,,,,,,,,,,,
48,"				OtherCurrentBorrowings",,,,,,,,"326,525,000","231,990,000",,0,0,,,,,,,,,,,,,,,,
49,"			CurrentCapitalLeaseObligation","8,259,000","9,996,000",,,,,,,,,,,,,,,,,,,,,,,,,,
50,"		CurrentDeferredLiabilities","9,092,000","8,718,000","16,859,000","14,579,000","23,808,000","21,699,000","28,634,000",,,,,,,,,,,,,,,,,,,,,
51,"			CurrentDeferredRevenue","9,092,000","8,718,000","16,859,000","14,579,000","23,808,000","21,699,000","28,634,000",,,,,,,,,,,,,,,,,,,,,
52,"		OtherCurrentLiabilities","11,900,000","1,536,000","6,524,000","8,008,000","1,860,000","2,962,000","4,251,000","19,726,000","2,741,000",,"34,000","169,004,000","5,704,000","39,944,000","92,756,000","91,512,000","48,230,000","10,590,000","6,439,000","18,810,000","19,500,000","40,100,000","17,600,000","-100,000","42,400,000","10,600,000","100,000","11,400,000"
53,"	TotalNonCurrentLiabilitiesNetMinorityInterest","1,526,519,000","1,766,291,000","1,431,808,000","566,391,000","1,069,511,000","1,323,223,000","1,269,388,000","758,896,000","694,167,000","752,724,000","280,801,000","259,848,000","266,454,000","206,846,000","249,823,000","246,462,000","173,837,000","157,608,000","133,930,000","87,740,000","99,727,000","118,100,000","93,200,000","60,900,000","53,500,000","15,300,000","14,600,000","10,700,000"
54,"		LongTermDebtAndCapitalLeaseObligation","1,390,647,000","1,591,047,000","1,350,041,000","252,676,000","583,269,000","794,109,000","786,327,000","317,407,000","296,589,000","405,953,000",,0,"20,000,000",,,,,,"7,689,000",,"14,938,000","29,800,000","44,800,000","26,500,000","36,100,000","4,000,000","6,900,000","6,100,000"
55,"			LongTermDebt","1,384,605,000","1,581,529,000","1,350,041,000","252,676,000","583,269,000","794,109,000","786,327,000","317,407,000","296,589,000","405,953,000",,0,"20,000,000",,,,,,"7,689,000",,"14,938,000","29,800,000","44,800,000","26,500,000","36,100,000","4,000,000","6,900,000","6,100,000"
56,"			LongTermCapitalLeaseObligation","6,042,000","9,518,000",,,,,,,,,,,,,,,,,,,,,,,,,,
57,"		NonCurrentDeferredLiabilities","128,276,000","163,781,000","72,727,000","311,007,000","483,703,000","528,179,000","482,384,000","438,496,000","393,459,000","341,467,000","280,691,000","259,457,000","245,351,000","202,123,000","231,824,000","200,328,000","157,278,000","143,995,000","126,241,000","87,740,000","84,789,000","88,300,000","48,400,000","34,300,000","17,400,000","11,400,000","7,700,000","4,500,000"
58,"			NonCurrentDeferredTaxesLiabilities","128,276,000","163,781,000","72,727,000","311,007,000","483,703,000","528,179,000","482,384,000","438,496,000","393,459,000","341,467,000","280,691,000","259,457,000","245,351,000","202,123,000","231,824,000","200,328,000","157,278,000","143,995,000","126,241,000","87,740,000","84,789,000","88,300,000","48,400,000","34,300,000","17,400,000","11,400,000","7,700,000","4,500,000"
59,"		EmployeeBenefits","2,743,000","6,325,000","3,033,000","2,708,000","2,539,000","935,000","677,000","2,993,000","4,119,000","5,304,000","110,000","391,000",,,,,,,,,,,,,,,,
60,"			NonCurrentPensionAndOtherPostretirementBenefitPlans",,,,"2,708,000","2,539,000","935,000","677,000","2,993,000","4,119,000","5,304,000","110,000","391,000",,,,,,,,,,,,,,,,
61,"		OtherNonCurrentLiabilities","4,853,000","5,138,000","6,007,000",0,0,0,0,0,0,,0,0,"1,103,000","4,723,000","17,999,000","46,134,000","16,559,000","13,613,000",0,0,0,,0,"100,000",0,"-100,000",0,"100,000"
62,TotalEquityGrossMinorityInterest,"1,365,024,000","1,463,022,000","1,790,683,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
63,"	StockholdersEquity","1,365,024,000","1,463,022,000","1,718,605,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
64,"		CapitalStock","230,354,000","230,100,000","206,328,000","206,042,000","180,666,000","169,171,000","169,215,000","168,155,000","164,670,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,"			CommonStock","230,354,000","230,100,000","206,328,000","206,042,000","180,666,000","169,171,000","169,215,000","168,155,000","164,670,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,"		AdditionalPaidInCapital","23,324,000","23,966,000","1,013,000","1,126,000","1,524,000","2,538,000","1,967,000","4,614,000","4,811,000","170,312,000","173,407,000","170,932,000","169,485,000","167,599,000","154,838,000","136,972,000","128,414,000","122,060,000","115,053,000","109,720,000","106,668,000","100,600,000","93,800,000","19,300,000","18,500,000","17,600,000","17,400,000","17,200,000"
67,"		RetainedEarnings","872,876,000","961,992,000","1,192,976,000","1,244,323,000","1,357,752,000","1,582,657,000","1,760,175,000","1,764,735,000","1,704,484,000","1,552,078,000","1,520,796,000","1,456,229,000","1,383,249,000","1,174,195,000","972,930,000","674,151,000","530,192,000","433,211,000","351,817,000","316,996,000","230,665,000","156,200,000","168,100,000","129,300,000","66,200,000","44,400,000","29,500,000","10,500,000"
68,"		GainsLossesNotAffectingRetainedEarnings","235,277,000","243,771,000","315,095,000","237,885,000","292,547,000","332,230,000","113,880,000","25,065,000","-16,007,000","1,032,000","-123,363,000","-96,364,000","-1,583,000","-97,588,000","-20,163,000","-39,221,000","-8,866,000","8,388,000","8,606,000","5,343,000","1,321,000",,,,,,,
69,"			ForeignCurrencyTranslationAdjustments",,,"315,095,000","237,885,000","292,547,000","332,230,000","113,880,000","25,065,000","-16,007,000",,,,"-1,583,000","-97,588,000","-20,163,000","-39,221,000","-8,866,000","8,388,000","8,606,000","5,343,000","1,321,000",,,,,,,
70,"		OtherEquityInterest","3,193,000","3,193,000","3,193,000",,,,,,,,,,,,,,,,,,,,,,,,"-100,000",
71,"	MinorityInterest",,0,"72,078,000",,,,,,,,,,,,,,,,,,,,,,,,,
72,TotalCapitalization,"2,749,629,000","3,044,551,000","3,068,646,000","1,942,052,000","2,415,758,000","2,880,705,000","2,831,564,000","2,279,976,000","2,154,547,000","2,129,375,000","1,570,840,000","1,530,797,000","1,571,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","483,165,000","432,059,000","353,592,000","286,600,000","306,700,000","175,100,000","120,800,000","66,000,000","53,700,000","33,800,000"
73,CommonStockEquity,"1,365,024,000","1,463,022,000","1,718,605,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
74,CapitalLeaseObligations,"14,301,000","19,514,000",,,,,,,,,,,,,,,,,,,,,,,,,,
75,NetTangibleAssets,"1,365,024,000","1,463,022,000","1,718,605,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
76,WorkingCapital,"98,612,000","126,987,000","-156,223,000","-342,199,000","-11,153,000","144,239,000","189,698,000","-71,146,000","13,861,000","-10,233,000","95,929,000","107,894,000","107,024,000","60,272,000","63,162,000","-11,878,000","14,209,000","-19,711,000","-33,598,000","86,488,000","51,817,000","37,700,000","43,600,000","29,200,000","-4,200,000","14,400,000","-1,100,000","1,100,000"
77,InvestedCapital,"2,749,629,000","3,044,551,000","3,445,258,000","2,429,309,000","2,549,948,000","2,880,705,000","2,831,564,000","2,606,501,000","2,386,537,000","2,367,815,000","1,730,175,000","1,699,801,000","1,740,594,000","1,362,175,000","1,177,594,000","937,681,000","746,677,000","685,570,000","605,092,000","447,502,000","373,092,000","286,600,000","324,300,000","197,000,000","163,200,000","76,600,000","63,300,000","45,200,000"
78,TangibleBookValue,"1,365,024,000","1,463,022,000","1,718,605,000","1,689,376,000","1,832,489,000","2,086,596,000","2,045,237,000","1,962,569,000","1,857,958,000","1,723,422,000","1,570,840,000","1,530,797,000","1,551,151,000","1,244,206,000","1,107,605,000","771,902,000","649,740,000","563,659,000","475,476,000","432,059,000","338,654,000","256,800,000","261,900,000","148,600,000","84,700,000","62,000,000","46,800,000","27,700,000"
79,TotalDebt,"1,398,906,000","1,601,043,000","1,726,653,000","739,933,000","717,459,000","794,109,000","786,327,000","643,932,000","528,579,000","644,393,000","159,335,000","169,004,000","189,443,000","117,969,000","69,989,000","165,779,000","96,937,000","121,911,000","129,616,000","15,443,000","34,438,000","29,800,000","62,400,000","48,400,000","78,500,000","14,600,000","16,500,000","17,500,000"
80,NetDebt,"1,340,407,000","1,553,121,000","1,641,830,000","707,559,000","687,622,000","753,723,000","732,330,000","565,074,000","495,371,000","641,780,000","69,815,000","33,851,000","93,538,000","116,029,000","55,419,000","133,786,000","81,226,000","100,247,000","106,756,000",,"23,716,000","12,300,000","43,200,000","45,500,000","76,600,000","14,500,000","15,800,000","16,800,000"
81,ShareIssued,"161,833,756","162,665,576","156,861,056","156,792,521","153,594,857","152,302,273","152,432,134","152,772,866","152,583,441","152,797,982","153,210,106","153,228,106","153,135,006","153,041,378","152,267,928","151,412,328","150,901,928","150,329,968","149,219,768","147,643,012","146,507,790","144,081,990","141,413,772","124,456,494","122,575,494","119,297,298","108,342,342","105,789,790"
82,OrdinarySharesNumber,"161,833,756","162,665,576","156,861,056","156,792,521","153,594,857","152,302,273","152,432,134","152,772,866","152,583,441","152,797,982","153,210,106","153,228,106","153,135,006","153,041,378","152,267,928","151,412,328","150,901,928","150,329,968","149,219,768","147,643,012","146,507,790","144,081,990","141,413,772","124,456,494","122,575,494","119,297,298","108,342,342","105,789,790"
0,TotalRevenue,"936,818,000","1,592,247,000","1,156,357,000","1,000,650,000","859,702,000","1,390,978,000","2,321,765,000","2,098,011,000","2,197,321,000","1,890,372,000","1,355,683,000","1,137,575,000","1,705,579,000","1,577,601,000","1,807,230,000","1,520,724,000","1,059,494,000","928,960,000","651,768,000","767,669,000","672,041,000","372,300,000","418,900,000","517,500,000","245,400,000","180,700,000","174,900,000","92,700,000"
1,"	OperatingRevenue","936,818,000","1,592,247,000","1,156,357,000","1,000,650,000","859,702,000","1,390,978,000","2,321,765,000","2,098,011,000","2,197,321,000","1,890,372,000","1,355,683,000","1,137,575,000","1,705,579,000","1,577,601,000","1,807,230,000","1,520,724,000","1,059,494,000","928,960,000","651,768,000","767,669,000","672,041,000","372,300,000","418,900,000","517,500,000","245,400,000","180,700,000","174,900,000","92,700,000"
2,CostOfRevenue,"1,032,906,000","1,504,083,000","1,270,860,000","1,085,511,000","971,973,000","1,330,538,000","1,985,249,000","1,772,199,000","1,775,736,000","1,322,926,000","991,977,000","781,021,000","1,145,884,000","1,054,334,000","1,161,213,000","1,031,412,000","776,688,000","683,878,000","498,325,000","546,350,000","486,024,000","274,100,000","290,900,000","359,300,000","177,500,000","134,400,000","128,300,000","73,800,000"
3,GrossProfit,"-96,088,000","88,164,000","-114,503,000","-84,861,000","-112,271,000","60,440,000","336,516,000","325,812,000","421,585,000","567,446,000","363,706,000","356,554,000","559,695,000","523,267,000","646,017,000","489,312,000","282,806,000","245,082,000","153,443,000","221,319,000","186,017,000","98,200,000","128,000,000","158,200,000","67,900,000","46,300,000","46,600,000","18,900,000"
4,OperatingExpense,"41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","103,176,000","173,779,000","90,175,000","77,440,000","254,740,000","174,388,000","167,419,000","189,570,000","140,342,000","127,554,000","211,481,000","108,139,000","107,259,000","68,825,000","55,427,000","53,465,000","42,000,000","38,500,000","31,700,000","20,000,000","13,700,000","10,500,000","6,500,000"
5,"	SellingGeneralAndAdministration","41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","74,895,000","84,284,000","90,175,000","77,440,000","76,813,000","54,195,000","59,688,000","63,761,000","47,706,000","46,633,000","136,564,000","57,183,000","63,050,000","29,655,000","26,243,000","26,940,000","19,300,000","18,000,000","19,200,000","13,600,000","8,700,000","7,100,000","4,300,000"
6,"		GeneralAndAdministrativeExpense","41,446,000","59,111,000","47,144,000","39,822,000","62,790,000","74,895,000","84,284,000","90,175,000","77,440,000","76,813,000","54,195,000","59,688,000",,,,,,,,,,,,,,,,
7,"			SalariesAndWages","-2,121,000","4,047,000","707,000","656,000","10,287,000","37,000","-13,573,000","2,049,000","-3,397,000","6,555,000","1,366,000","8,804,000",,,,,,,,,,,,,,,,
8,"			OtherGandA","43,567,000","55,064,000","46,437,000","39,166,000","52,503,000","74,858,000","97,857,000","88,126,000","80,837,000","70,258,000","52,829,000","50,884,000",,,,,,,,,,,,,,,,
9,"	DepreciationAmortizationDepletionIncomeStatement",,,,,"349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000","125,809,000","92,636,000","80,921,000","74,917,000","50,956,000","44,209,000","39,170,000","29,184,000","26,525,000","22,700,000","20,500,000","12,500,000","6,400,000","5,000,000","3,400,000","2,200,000"
10,"		DepreciationAndAmortizationInIncomeStatement",,,,,"349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000","125,809,000","92,636,000","80,921,000","74,917,000","50,956,000","44,209,000","39,170,000","29,184,000","26,525,000","22,700,000","20,500,000","12,500,000","6,400,000","5,000,000","3,400,000","2,200,000"
11,"			DepreciationIncomeStatement",,,,,"349,947,000","335,513,000","298,854,000","248,026,000","220,227,000","177,927,000","135,799,000","111,015,000",,,,,,,,,,,,,,,,
12,"	OtherOperatingExpenses",,,,,,"28,281,000","89,495,000",,,,"-15,606,000","-3,284,000",,,,,,,,,,,,,,,,
13,OperatingIncome,"-137,534,000","29,053,000","-161,647,000","-124,683,000","-175,061,000","-42,736,000","162,737,000","235,637,000","344,145,000","312,706,000","189,318,000","189,135,000","370,125,000","382,925,000","518,463,000","277,831,000","174,667,000","137,823,000","84,618,000","165,892,000","132,552,000","56,200,000","89,500,000","126,500,000","47,900,000","32,600,000","36,100,000","12,400,000"
14,NetNonOperatingInterestIncomeExpense,"-119,261,000","-149,159,000","-52,416,000","-41,210,000","-30,471,000","-24,913,000","-20,687,000","-17,475,000","-18,162,000","-5,939,000","-1,279,000","-1,432,000",,,,,,,,,,,,,,,,
15,"	InterestIncomeNonOperating",,,,"281,000","367,000","420,000","859,000","1,320,000","504,000","647,000",,,,,,,,,,,,,,,,,,
16,"	InterestExpenseNonOperating","107,374,000","149,159,000","52,416,000","41,491,000","30,838,000","25,333,000","21,546,000","18,795,000","18,666,000","6,586,000","1,279,000","1,432,000",,,,,,,,,,,,,,,,
17,"	TotalOtherFinanceCost","11,887,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
