,name,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,ttm
0,TotalAssets,"390,375","2,980,654","2,705,615","2,840,655","2,952,193","2,879,705","1,179,636","1,832,464","4,370,000","25,683,000","15,400,000","1,200,000",
1,	CurrentAssets,"265,574","568,355","142,235","389,930","293,325","37,188","671,035","1,337,343","2,409,000","10,809,000","13,300,000","900,000",
2,		CashCashEquivalentsAndShortTermInvestments,"236,402","398,261","38,260","171,738","167,223","18,410","598,467","1,312,343","2,333,000","8,471,000","12,300,000","800,000",
3,			CashAndCashEquivalents,"236,402","398,261","38,260","171,738","167,223","18,410","598,467","1,312,343","2,333,000","8,471,000","12,300,000","800,000",
4,		Receivables,"29,172","170,094","103,975","218,192","126,102","18,778",,,,"1,119,000","200,000","100,000",
5,			AccountsReceivable,"29,172","170,094","103,975","218,192","126,102","18,778",,,,,,,
6,			OtherReceivables,0,0,0,0,0,0,,,,,,,
7,		Inventory,,,,,,,,,,"282,000","400,000",,
8,		PrepaidAssets,,,,,,,"72,568","25,000",,,,,
9,		OtherCurrentAssets,0,0,0,0,0,0,0,0,"76,000","937,000","400,000",,
10,	TotalNonCurrentAssets,"124,801","2,412,299","2,563,380","2,450,725","2,658,868","2,842,517","508,601","495,121","1,961,000","14,874,000","2,100,000","300,000",
11,		NetPPE,"124,800","45,578","196,659","84,004","8,424","10,374","183,622","344,522","509,000","1,032,000","1,900,000","100,000",
12,			GrossPPE,"3,284,690","1,022,803","1,285,744","991,891","916,311","1,091,509","1,091,509","1,091,509","1,109,000","1,387,000","2,300,000","300,000",
13,				Properties,0,0,0,0,,0,0,0,,,,,
14,				LandAndImprovements,"3,284,690","1,022,803","194,235","78,580",,,,,,,,,
15,				BuildingsAndImprovements,,,,,,"355,273","355,273","355,273",,,,,
16,				MachineryFurnitureEquipment,,,,,,"736,236","736,236","736,236",,,,,
17,				OtherProperties,,,"1,091,509","913,311",,,,,,,,,
18,			AccumulatedDepreciation,"-3,159,890","-977,225","-1,089,085","-907,887","-907,887","-1,081,135","-907,887","-746,987","-600,000","-355,000","-400,000","-200,000",
19,		GoodwillAndOtherIntangibleAssets,,,,,,,,,,"13,137,000",,,
20,			OtherIntangibleAssets,,,,,,,,,,"13,137,000",,,
21,		InvestmentsAndAdvances,0,,,,,,,,,,,,
22,		OtherNonCurrentAssets,1,"2,366,721","2,366,721","2,366,721","2,650,444","2,832,143","324,979","150,599","1,452,000","705,000","200,000","200,000",
23,TotalLiabilitiesNetMinorityInterest,"772,194","1,062,530","943,541","945,961","900,496","441,806","192,572","178,625","606,000","5,401,000","4,500,000","1,200,000",
