,name,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985,ttm
9,	OtherOperatingExpenses,"6,000","300,000","768,000","308,000","52,000","395,000","31,000","232,000",,,,,,,,,,,,
10,OperatingIncome,"184,000","-892,000","-1,113,000","-568,000","-396,000","-883,000","-12,000","-69,000","-800,000","-500,000","-1,100,000","-200,000",0,"300,000","-200,000","-600,000","-600,000","-700,000","2,100,000","-290,000"
11,OtherIncomeExpense,,,,,,0,,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000",
12,	SpecialIncomeCharges,,,,,,,,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000",
13,PretaxIncome,,,,,"-397,000","-887,000",,,,"-700,000",,"-300,000",,"400,000",,,"-800,000","-9,300,000","3,300,000",
14,TaxProvision,,,,,0,0,,,,"-200,000",,"-1,100,000",,"100,000",,,"-100,000","-4,500,000","1,500,000",
15,NetIncomeCommonStockholders,"184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
16,	NetIncome,"184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
17,		NetIncomeIncludingNoncontrollingInterests,"184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
18,			NetIncomeContinuousOperations,"184,000","-892,000","-1,113,000","-568,000","-397,000","-887,000","-15,000","-72,000","-1,700,000","-500,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
19,			NetIncomeDiscontinuousOperations,,,,0,"-116,000","595,000",,,,,,,,,,,,,,
20,			NetIncomeExtraordinary,,,0,"441,000",,,0,"448,000",,"200,000",,,,,,,,,,
21,			NetIncomeFromTaxLossCarryforward,,,,,,,,,,"200,000",,,,,,,,,,
22,DilutedNIAvailtoComStockholders,"184,000","-892,000","-1,113,000","-127,000","-513,000","595,000","-15,000","376,000","-1,700,000","-100,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
23,BasicEPS,0.17,-0.84,-1.02,-0.12,-0.48,0.56,-0.01,0.32,-1.6,-0.16,-2.32,0.8,-0.96,0.24,-0.24,-1.2,-0.72,-4.88,1.76,
24,DilutedEPS,0.17,-0.84,-1.02,-0.12,-0.48,0.56,-0.01,0.32,-1.6,-0.16,-2.32,0.8,-0.96,0.24,-0.24,-1.2,-0.72,-4.88,1.76,
25,BasicAverageShares,"1,059,000","1,059,000","1,086,000","1,059,000","1,059,000","1,059,000","1,059,000","1,058,750","1,062,500","1,250,000","1,034,483","1,000,000","937,500","1,250,000","833,333","1,000,000","972,222","983,607","1,022,727",
26,DilutedAverageShares,"1,059,000","1,059,000","1,086,000","1,059,000","1,250,000","1,059,000","1,059,000","8,475,000","1,062,500","1,250,000","1,034,483","1,000,000","937,500","1,250,000","833,333","1,000,000","972,222","983,607","1,022,727",
27,TotalOperatingIncomeAsReported,"184,000","892,000","1,113,000","568,000","396,000","883,000","12,000","69,000",,,,,,,,,,,,"114,000"
28,TotalExpenses,"732,000","1,763,000","1,612,000","1,103,000","749,000","1,351,000","1,419,000","1,338,000","2,700,000","5,800,000","6,100,000","6,600,000","8,800,000","7,300,000","6,500,000","7,500,000","8,200,000","10,800,000","17,400,000","553,000"
29,InterestExpense,,,,,,"4,000",,"3,000","100,000","200,000","100,000",,"100,000","200,000","100,000","100,000",,"200,000","400,000",
30,NetInterestIncome,,,,,,"-4,000",,"-3,000",,,,,,,,,,,,
31,NetIncomeFromContinuingAndDiscontinuedOperation,"184,000","-892,000","-1,113,000","-568,000","-513,000","595,000","-15,000","-72,000","-1,700,000","-500,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
32,NormalizedIncome,"184,000","-892,000","-1,113,000","-568,000","-397,000",0,"-15,000","-72,000","-800,000","-571,428.571","-1,200,000","800,000","-100,000","75,000","-200,000","-800,000","-700,000","3,700,000","200,000","-290,000"
33,EBIT,"184,000","-892,000","-1,113,000","-568,000","-396,000","-883,000","-12,000","-69,000","-800,000","-500,000","-1,100,000","-200,000",0,"300,000","-200,000","-600,000","-600,000","-700,000","2,100,000","-290,000"
34,EBITDA,,,,,,,,,,,,,,,,,,,,"-290,000"
35,ReconciledCostOfRevenue,"322,000","383,000","405,000","360,000","215,000","402,000","790,000","561,000","1,900,000","4,100,000","4,300,000","4,800,000","6,500,000","5,400,000","4,400,000","4,800,000","4,600,000","7,000,000","12,300,000","294,000"
36,ReconciledDepreciation,0,"2,000","3,000","3,000","9,000","32,000","123,000","127,000","200,000","400,000","700,000","800,000","1,000,000","800,000","1,000,000","1,400,000","1,500,000","1,800,000","2,900,000",
37,NetIncomeFromContinuingOperationNetMinorityInterest,"184,000","-892,000","-1,113,000","-568,000","-397,000",0,"-15,000","-72,000","-1,700,000","-500,000","-2,400,000","800,000","-900,000","300,000","-200,000","-1,200,000","-700,000","-4,800,000","1,800,000","-290,000"
38,TotalUnusualItemsExcludingGoodwill,,,,,,,,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000",
39,TotalUnusualItems,,,,,,,,,"-900,000","100,000","-1,200,000",,"-800,000","300,000",,"-400,000",,"-8,500,000","1,600,000",
40,NormalizedEBITDA,"184,000","-890,000","-1,110,000","-565,000","-387,000","-851,000","111,000","58,000","300,000","-200,000","800,000","600,000","1,800,000","800,000","800,000","1,200,000","900,000","9,600,000","3,400,000","-290,000"
41,TaxRateForCalcs,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.25,0,0,0.125,0,0,0
42,TaxEffectOfUnusualItems,0,0,0,0,0,0,0,0,0,"28,571.429",0,0,0,"75,000",0,0,0,0,0,0
