,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,ttm
15,NetNonOperatingInterestIncomeExpense,"-302,000,000","-114,000,000","-82,000,000","-96,782,000","-112,954,000","-104,500,000","-74,420,000","-79,122,000","-58,204,000","-23,602,000","-26,087,000","-21,861,000","2,285,000",,,,"1,390,000",,,,,,,"-364,000,000"
16,	InterestIncomeNonOperating,"54,000,000","152,000,000","187,000,000","157,194,000","94,946,000","55,729,000","13,933,000","4,167,000","3,860,000","8,119,000","3,857,000","2,223,000","11,660,000",,,,"5,112,000",,,,,,,"26,000,000"
17,	InterestExpenseNonOperating,"356,000,000","266,000,000","269,000,000","253,976,000","207,900,000","160,229,000","88,353,000","83,289,000","62,064,000","31,721,000","29,944,000","24,084,000","9,375,000",,,,"3,722,000",,,,,,,"390,000,000"
18,OtherIncomeExpense,"289,000,000","727,000,000","-424,000,000","-42,888,000","-1,020,821,000","-26,087,000","-9,444,000","-36,755,000","-9,720,000","-7,526,000","-14,427,000","-6,672,000","3,810,000","-8,276,000","-4,295,000","-1,571,000","82,000","-4,121,000","-26,415,000","-4,470,000","-266,983,000","-999,200,000","-57,500,000","1,278,000,000"
19,	GainOnSaleOfSecurity,"1,604,000,000","727,000,000","-424,000,000","-35,291,000","-16,913,000","-26,087,000","-9,444,000","-36,755,000","-9,720,000","-7,526,000","-14,427,000",,,,,,,,,,,,,"2,000,000,000"
20,	EarningsFromEquityInterest,,,,,,,,,,,,,,"-5,000,000","-3,554,000","749,000",,"2,331,000","1,131,000","551,000",,,,
21,	SpecialIncomeCharges,"-1,311,000,000",,0,"-7,597,000","-1,003,908,000",,,,,,,"-6,672,000","3,810,000","-3,276,000","-741,000","-2,320,000","82,000","-6,452,000","-27,546,000","-5,021,000","-266,983,000","-999,200,000","-57,500,000","-730,000,000"
22,		RestructuringAndMergernAcquisition,"149,000,000",,,,,,,,,,,,0,,"135,000","1,664,000",,"-186,000","3,738,000","-136,000",,,,"157,000,000"
23,		ImpairmentOfCapitalAssets,"1,062,000,000",,0,0,"940,700,000",,,,,,,,,,,,0,,,,,,,"573,000,000"
24,		WriteOff,"100,000,000",,0,"7,597,000","63,208,000",,,,,,,,,,,,,,,,,,,0
25,		OtherSpecialCharges,,,,,,,,,,,,,"-3,810,000",,"606,000","656,000","-82,000","6,638,000","23,808,000","5,157,000",,,,
26,	OtherNonOperatingIncomeExpenses,"-4,000,000",,,,,,,,,,,,,,,,,,,,,,,"8,000,000"
27,PretaxIncome,"567,000,000","5,958,000,000","4,835,000,000","4,398,322,000","2,713,238,000","3,128,320,000","2,989,448,000","2,296,537,000","1,761,869,000","1,367,794,000","746,283,000","442,302,000","295,569,000","150,023,000","65,632,000","35,703,000","31,882,000",,,,,,,"1,011,000,000"
28,TaxProvision,"508,000,000","1,093,000,000","837,000,000","2,057,557,000","578,251,000","576,960,000","567,695,000","403,739,000","337,832,000","308,663,000","218,141,000","-47,168,000","98,408,000","-12,059,000","-12,388,000","-156,277,000","-193,000",,,,,,,"308,000,000"
