,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
47,TotalUnusualItems,"-2,920,000",,,"173,000",0,0,"7,583,000","-22,000,000","4,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
48,NormalizedEBITDA,"-5,919,000","10,782,000","10,066,000","6,620,000","13,598,000","9,934,000","23,874,000","5,258,000","28,024,000","17,828,000","26,098,000","15,778,000","3,278,000","20,639,000","29,881,000","15,051,704","11,194,329","3,902,117","1,725,159","1,686,371","750,000","954,000","84,000"
49,TaxRateForCalcs,0.18,0.27,0.27,0.4,0.39,0.4,0.23,0.35,0.29,0.35,0.35,0.35,0.35,0.35,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
50,TaxEffectOfUnusualItems,"-525,600",0,0,0,0,0,0,0,"1,160","-28,350","-68,950","-27,300","175,000","62,300","1,200","-5,876.80",0,0,"-21,815.20","-133,088.40",0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.131084,0.076185,0.107337,0.07729,0.123874,0.158416,0.180709,-0.043649,0.186011,0.04856,0.199342,0.112395,-0.116528,0.244301,0.384508,0.143601,0.139569,0.304787,0.263327,0.170709,0.232648,0.259259,0.271028
2,ROA2,-0.171061183,0.084828811,0.104628715,0.07116792,0.108607883,0.136596529,0.159306347,-0.04713241,0.219014207,0.049408262,0.234665668,0.12731112,-0.113375937,0.224952461,0.338933372,0.161342188,0.241573021,0.411423051,0.31769815,0.197321203,0.369199388,0.41015625,#REF!
3,ROE,-2.065077,0.382491,0.331531,0.269919,0.367084,0.507972,0.41071,-0.159917,0.419899,0.095486,0.286714,0.168503,-0.198237,0.351672,0.456392,0.164073,0.14995,0.533737,0.476322,0.387826,0.630662,0.541237,0.325843
4,ROC,-0.547341,0.170273,0.331531,0.269919,0.367084,0.401701,0.41071,-0.159917,0.419899,0.095486,0.286714,0.168503,-0.198237,0.351672,0.456392,0.164073,0.14995,0.533737,0.476322,0.387826,0.630662,0.541237,0.325843
5,OperatingMargin,-0.208074,0.084946,0.074002,0.042666,0.086097,0.050425,0.14816,0.014396,0.168614,0.101266,0.208469,0.145872,0.038217,0.261358,0.427947,0.292878,0.327591,0.207814,0.149906,0.197631,0.189873,1,1
6,NetMargin,-0.250424,0.037294,0.04187,0.033138,0.051582,0.07666,0.115093,-0.031668,0.120383,0.022374,0.116657,0.055175,-0.050563,0.115434,0.241683,0.156838,0.179261,0.113951,0.086625,0.059164,0.091646,0.110063,0.345238
7,CurrentRatio,0.845227,1.031891,1.237076,1.258372,1.490997,1.391223,2.131095,1.438083,1.976824,1.956148,3.173314,3.256916,2.404357,3.605868,6.301163,7.95748,14.365498,2.199222,1.924725,1.356414,#DIV/0!,#DIV/0!,#DIV/0!
8,QuickRatio,0.845227,1.031891,1.237076,1.258372,1.490997,1.391223,2.131095,1.438083,1.976824,1.956148,3.173314,3.256916,2.404357,3.605868,6.301163,7.95748,14.365498,2.199222,1.924725,1.356414,#DIV/0!,#DIV/0!,#DIV/0!
9,D/Eratio,2.772923,1.246341,0,0,0,0.264553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,EPS,-1.181082,0.361964,0.389651,0.283261,0.492572,0.748312,1.034871,-0.317132,1.151772,0.201616,0.800109,0.315313,-0.288134,0.639228,1.101836,0.490017,0.371915,0.10554,0.043916,0.018725,0.018636,0.005405,0.001493
