,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
76,NetTangibleAssets,"-62,000,000","211,000,000","597,000,000","463,000,000","599,000,000","504,000,000","177,000,000","310,654,000","217,094,000","-217,385,000","28,928,000","-80,874,000"
77,WorkingCapital,"331,000,000","98,000,000","522,000,000","621,000,000","527,000,000","553,000,000","366,000,000","387,396,000","436,854,000","147,929,000","34,112,000","-78,560,000"
78,InvestedCapital,"1,377,000,000","1,161,000,000","1,471,000,000","1,600,000,000","1,673,000,000","1,613,000,000","1,463,000,000","1,232,941,000","1,139,113,000","720,271,000","541,411,000","389,914,000"
79,TangibleBookValue,"-62,000,000","211,000,000","597,000,000","463,000,000","599,000,000","504,000,000","177,000,000","310,654,000","217,094,000","-217,385,000","28,928,000","-80,874,000"
80,TotalDebt,"634,000,000","167,000,000","83,000,000","321,000,000","255,000,000","285,000,000","405,000,000","376,338,000","412,145,000","426,734,000","1,779,000",
81,NetDebt,"73,000,000",,,,,,,"17,313,000","44,630,000","243,202,000",,
82,ShareIssued,"153,575,220","151,498,306","149,958,009","148,417,262","147,506,466","146,636,241","145,115,464","144,337,797","142,860,137","133,461,807","133,461,807","133,461,807"
83,OrdinarySharesNumber,"134,730,606","137,381,772","137,901,321","138,942,772","144,110,979","145,243,110","142,921,291","142,217,088","142,860,137","133,461,807","133,461,807","133,461,807"
84,TreasurySharesNumber,"18,844,614","14,116,534","12,056,688","9,474,490","3,395,487","1,393,131","2,194,173","2,120,709",,,,
0,TotalRevenue,"604,000,000","1,560,000,000","1,615,000,000","1,556,000,000","1,480,000,000","1,492,000,000","1,246,000,000","944,661,000","762,966,000","637,063,000","484,635,000","352,089,000"
1,"	OperatingRevenue","604,000,000","1,560,000,000","1,615,000,000","1,556,000,000","1,480,000,000","1,492,000,000","1,246,000,000","727,236,000","559,215,000","637,063,000","484,635,000","352,089,000"
2,CostOfRevenue,"55,000,000","94,000,000","86,000,000","72,000,000","71,000,000","58,000,000","40,000,000","17,714,000","12,074,000","10,873,000","7,345,000","4,569,000"
3,GrossProfit,"549,000,000","1,466,000,000","1,529,000,000","1,484,000,000","1,409,000,000","1,434,000,000","1,206,000,000","926,947,000","750,892,000","626,190,000","477,290,000","347,520,000"
4,OperatingExpense,"834,000,000","1,279,000,000","1,346,000,000","1,360,000,000","1,243,000,000","1,202,000,000","866,000,000","632,373,000","454,596,000","337,279,000","243,090,000","172,432,000"
5,"	SellingGeneralAndAdministration","709,000,000","1,153,000,000","1,230,000,000","1,249,000,000","1,142,000,000","1,109,000,000","801,000,000","597,147,000","428,520,000","253,946,000","174,814,000","121,552,000"
6,"		GeneralAndAdministrativeExpense","393,000,000","481,000,000","452,000,000","400,000,000","386,000,000","417,000,000","299,000,000","228,794,000","162,281,000","44,770,000","34,344,000","15,873,000"
7,"			SalariesAndWages","119,000,000","135,000,000","129,000,000","116,000,000","101,000,000","106,000,000","87,000,000",,"51,000,000",,,
8,"			OtherGandA","274,000,000","346,000,000","323,000,000","284,000,000","285,000,000","311,000,000","212,000,000","228,794,000","111,281,000","44,770,000","34,344,000","15,873,000"
9,"		SellingAndMarketingExpense","316,000,000","672,000,000","778,000,000","849,000,000","756,000,000","692,000,000","502,000,000","368,353,000","266,239,000","209,176,000","140,470,000","105,679,000"
10,"	ResearchAndDevelopment",,,"275,000,000","243,000,000","243,000,000","207,000,000","171,000,000","130,673,000","86,640,000","57,448,000","53,667,000","37,074,000"
11,"	DepreciationAmortizationDepletionIncomeStatement","125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","14,609,000","13,806,000"
12,"		DepreciationAndAmortizationInIncomeStatement","125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","14,609,000","13,806,000"
13,"			DepreciationIncomeStatement","99,000,000","93,000,000","82,000,000","79,000,000","69,000,000","57,000,000","47,000,000","29,495,000","19,966,000","18,362,000",,
14,"			Amortization","26,000,000","33,000,000","34,000,000","32,000,000","32,000,000","36,000,000","18,000,000","5,731,000","6,110,000","7,523,000","14,609,000","13,806,000"
15,"				AmortizationOfIntangiblesIncomeStatement","26,000,000","33,000,000","34,000,000","32,000,000","32,000,000","36,000,000","18,000,000","5,731,000","6,110,000","7,523,000","14,609,000","13,806,000"
16,OperatingIncome,"-285,000,000","187,000,000","183,000,000","124,000,000","166,000,000","232,000,000","340,000,000","294,574,000","296,296,000","288,911,000","234,200,000","175,088,000"
17,NetNonOperatingInterestIncomeExpense,"-32,000,000","10,000,000","-5,000,000","-14,000,000","-11,000,000","-9,000,000","-8,000,000","-8,336,000","-10,871,000","391,000","241,000","978,000"
18,"	InterestIncomeNonOperating","3,000,000","17,000,000","7,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,738,000",,"544,000","241,000","978,000"
19,"	InterestExpenseNonOperating","35,000,000","7,000,000","12,000,000","15,000,000","12,000,000","10,000,000","9,000,000","10,074,000",,"153,000",,
20,"	TotalOtherFinanceCost",,,,,,,,,"10,871,000",,,
21,OtherIncomeExpense,"-52,000,000","-3,000,000","-5,000,000","-14,000,000","-4,000,000","16,000,000","-10,000,000","-1,536,000","-3,450,000","-17,408,000","-6,256,000","-6,250,000"
22,"	GainOnSaleOfSecurity","5,000,000",,"-6,000,000",,"-4,000,000","-4,000,000","-10,000,000",,,,,
23,"	EarningsFromEquityInterest","-3,000,000",,,,,,,,,,,
24,"	SpecialIncomeCharges","-50,000,000",,"1,000,000",,0,"20,000,000",,0,0,"-17,408,000","-6,256,000","-6,250,000"
25,"		RestructuringAndMergernAcquisition","41,000,000",,,,,,,0,0,,,
26,"		ImpairmentOfCapitalAssets","3,000,000",,,,,,,,,,,
27,"		GainOnSaleOfBusiness","-6,000,000",,"1,000,000",,0,"20,000,000",,,,,,
28,"	OtherNonOperatingIncomeExpenses","-4,000,000","-3,000,000","-10,000,000","-14,000,000","-15,000,000","7,000,000","-18,000,000","-1,536,000","-3,450,000",,,
29,PretaxIncome,"-369,000,000","194,000,000","173,000,000","110,000,000","151,000,000","239,000,000","322,000,000","284,702,000","281,975,000","271,894,000","-224,415,000","-166,540,000"
30,TaxProvision,"-80,000,000","68,000,000","60,000,000","129,000,000","31,000,000","41,000,000","96,000,000","79,259,000","87,387,000","94,103,000","85,461,000","64,325,000"
31,NetIncomeCommonStockholders,"-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000"
32,"	NetIncome","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000"
33,"		NetIncomeIncludingNoncontrollingInterests","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,588,000","177,791,000","138,954,000","102,215,000"
34,"			NetIncomeContinuousOperations","-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,588,000","177,791,000","138,954,000","102,215,000"
35,"		MinorityInterests",,,,,,,0,0,"-519,000","-114,000","-178,000","212,000"
36,DilutedNIAvailtoComStockholders,"-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000"
37,BasicEPS,-2.14,0.91,0.82,-0.14,0.83,1.38,1.58,1.44,1.39,1.33,1.04,0.767
38,DilutedEPS,-2.14,0.89,0.81,-0.14,0.82,1.36,1.55,1.41,1.37,1.32,1.04,0.767
39,BasicAverageShares,"135,000,000","139,000,000","138,000,000","140,000,000","145,000,000","144,000,000","143,000,000","142,854,000","139,461,886","133,461,000","133,461,000","133,461,000"
40,DilutedAverageShares,"135,000,000","141,000,000","140,000,000","140,000,000","147,000,000","146,000,000","146,000,000","145,263,000","141,341,351","134,865,000","133,461,000","133,461,000"
41,TotalOperatingIncomeAsReported,"-329,000,000","187,000,000","183,000,000","124,000,000","166,000,000","232,000,000","340,000,000","294,574,000","296,296,000","272,757,000","226,300,000","168,178,000"
42,TotalExpenses,"889,000,000","1,373,000,000","1,432,000,000","1,432,000,000","1,314,000,000","1,260,000,000","906,000,000","650,087,000","466,670,000","348,152,000","250,435,000","177,001,000"
43,NetIncomeFromContinuingAndDiscontinuedOperation,"-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000"
44,NormalizedIncome,"-253,765,000","126,000,000","116,265,000","-19,000,000","123,180,000","184,752,000","233,020,000","205,443,000","194,069,000","189,060,060.05","142,842,400","106,489,500"
45,InterestIncome,"3,000,000","17,000,000","7,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,738,000",,"544,000","241,000","978,000"
46,InterestExpense,"35,000,000","7,000,000","12,000,000","15,000,000","12,000,000","10,000,000","9,000,000","10,074,000",,"153,000",,
47,NetInterestIncome,"-32,000,000","10,000,000","-5,000,000","-14,000,000","-11,000,000","-9,000,000","-8,000,000","-8,336,000","-10,871,000","391,000","241,000","978,000"
48,EBIT,"-334,000,000","201,000,000","185,000,000","125,000,000","163,000,000","249,000,000","331,000,000","294,776,000","296,296,000","272,047,000","234,200,000","175,088,000"
49,EBITDA,,,,,,,,,,,,
50,ReconciledCostOfRevenue,"55,000,000","94,000,000","86,000,000","72,000,000","71,000,000","58,000,000","40,000,000","17,714,000","12,074,000","10,873,000","7,345,000","4,569,000"
51,ReconciledDepreciation,"125,000,000","126,000,000","116,000,000","111,000,000","101,000,000","93,000,000","65,000,000","35,226,000","26,076,000","25,885,000","27,480,000","23,136,000"
52,NetIncomeFromContinuingOperationNetMinorityInterest,"-289,000,000","126,000,000","113,000,000","-19,000,000","120,000,000","198,000,000","226,000,000","205,443,000","194,069,000","177,677,000","138,776,000","102,427,000"
53,TotalUnusualItemsExcludingGoodwill,"-45,000,000",,"-5,000,000",,"-4,000,000","16,000,000","-10,000,000",0,0,"-17,408,000","-6,256,000","-6,250,000"
54,TotalUnusualItems,"-45,000,000",,"-5,000,000",,"-4,000,000","16,000,000","-10,000,000",0,0,"-17,408,000","-6,256,000","-6,250,000"
55,NormalizedEBITDA,"-164,000,000","327,000,000","306,000,000","236,000,000","268,000,000","326,000,000","406,000,000","330,002,000","322,372,000","315,340,000","267,936,000","204,474,000"
56,TaxRateForCalcs,0.217,0.351,0.347,0.4,0.205,0.172,0.298,0.278,0.31,0.346,0.35,0.35
57,TaxEffectOfUnusualItems,"-9,765,000",0,"-1,735,000",0,"-820,000","2,752,000","-2,980,000",0,0,"-6,024,939.96","-2,189,600","-2,187,500"
,,,,,,,,,,,,,
1,ROA1,-0.146775,0.063508,0.052146,-0.008363,0.053619,0.093045,0.115365,0.139471,0.149376,0.212561,0.191974,0.178188
2,ROA2,-0.146218062,0.060708263,0.050912368,-0.008425721,0.054970224,0.096892586,0.131701094,0.148216151,0.181790846,0.227970041,0.213877469,#REF!
3,ROE,-0.326185,0.108527,0.076818,-0.01394,0.079893,0.140227,0.200889,0.237649,0.266957,0.605297,0.257168,0.262691
4,ROC,-0.190132,0.09488,0.072716,-0.011283,0.068298,0.116676,0.147712,0.165571,0.170369,0.246681,0.256323,0.262691
5,OperatingMargin,-0.471854,0.119872,0.113313,0.079692,0.112162,0.155496,0.272873,0.31183,0.388348,0.453505,0.48325,0.497283
6,NetMargin,0,0,0,0,0,0,0,0,0,0,0,0
7,CurrentRatio,2.367769,1.225287,2.328244,2.669355,2.245863,2.772436,1.96063,2.594951,3.232948,2.134486,1.239065,0.501387
8,QuickRatio,2.367769,1.225287,2.328244,2.669355,2.245863,2.772436,1.96063,2.594951,3.232948,2.134486,1.239065,0.501387
9,D/Eratio,0.715576,0.143842,0.056424,0.23551,0.169774,0.201841,0.36,0.435335,0.566937,1.453766,0.003297,0
10,EPS,-1.881814,0.831692,0.753544,-0.128017,0.813524,1.35028,1.557381,1.423349,1.358455,1.331295,1.039818,0.767463
