,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
13,NetNonOperatingInterestIncomeExpense,"-28,740,000","122,810,000","152,929,000","130,250,000","87,305,000","76,516,000","31,283,593","16,163,339","7,431,724","2,287,309"
14,"	InterestIncomeNonOperating","3,526,000","156,862,000","152,929,000","130,250,000","87,305,000","76,516,000","31,283,593","16,163,339","7,431,724","2,287,309"
15,"	InterestExpenseNonOperating","32,266,000","34,052,000",,,,,,,,
16,"	TotalOtherFinanceCost",,,"-152,929,000",,,,,,,
17,OtherIncomeExpense,"18,467,000","17,378,000","-3,153,000","-2,515,000","-12,287,000","-84,454,000","-6,121,370","1,237,901","-1,097,352","6,136,957"
18,"	GainOnSaleOfSecurity","18,720,000","-1,131,000","-11,729,000","-2,394,000","-9,734,000","-83,118,000","-5,333,644","1,286,468","-740,678","6,529,319"
19,"	SpecialIncomeCharges",,,,"21,628,000","19,770,000","10,840,440","6,114,088","1,639,993","417,053","1,258,701"
20,"		OtherSpecialCharges",,,,,,,,"-1,639,993",,"-1,258,701"
21,"	OtherNonOperatingIncomeExpenses","-253,000","18,509,000","8,576,000","-121,000","-2,553,000","-1,336,000","-787,726","-48,567","-356,674","-392,362"
22,PretaxIncome,"-1,351,068,000","-730,656,000","-199,218,000","-755,691,000","-2,444,306,000","-1,462,974,000","-447,857,851","-79,632,079","-107,112,033","-91,949,864"
23,TaxProvision,"-6,641,000","949,000","153,000","15,625,000","-1,711,000","-589,000",0,0,"77,890",0
24,EarningsFromEquityInterestNetOfTax,"797,000","2,223,000",,,,,,,,
25,NetIncomeCommonStockholders,"-1,307,956,000","-699,199,000","-187,934,000","-773,029,000","-2,427,197,000","-1,459,379,000","-463,463,759","-152,414,661","-107,189,923","-122,879,125"
26,"	NetIncome","-1,307,956,000","-699,199,000","-187,934,000","-773,029,000","-2,427,197,000","-1,459,379,000","-447,857,851","-79,632,079","-107,189,923","-91,949,864"
27,"		NetIncomeIncludingNoncontrollingInterests","-1,343,630,000","-729,382,000","-199,371,000","-771,316,000","-2,442,595,000","-1,462,385,000","-447,857,851","-79,632,079","-107,189,923","-91,949,864"
28,"			NetIncomeContinuousOperations","-1,343,630,000","-729,382,000","-199,371,000","-771,316,000","-2,442,595,000","-1,462,385,000","-447,857,851","-79,632,079","-107,189,923","-91,949,864"
29,"		MinorityInterests","35,674,000","30,183,000","11,437,000","-1,713,000","15,398,000","3,006,000",,,,
30,"	PreferredStockDividends",,,,,,,"15,605,908","59,428,400",,"30,929,261"
31,"	OtherunderPreferredStockDividend",,,"2,422,000","5,725,000","106,000",,,"13,354,182",,
32,DilutedNIAvailtoComStockholders,"-1,307,956,000","-699,199,000","-187,934,000","-773,029,000","-2,427,197,000","-1,459,379,000","-463,463,759","-152,414,661","-107,189,923","-122,879,125"
33,BasicEPS,,-5.67,-1.5,-6.12,-19.5,-17.64,-13.14,-4.71,-3.305,-3.789
34,DilutedEPS,,-5.67,-1.5,-6.12,-19.5,-17.64,-13.14,-4.71,-3.305,-3.789
35,BasicAverageShares,,"123,157,627","125,914,794","126,076,680","124,449,285","82,787,612","35,248,771","32,430,432","32,430,432","32,430,432"
