name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
				OtherCurrentBorrowings,,,,,,"55,000","71,000","69,000","16,247,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"4,188,000","4,904,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"43,611,000","6,826,000","20,043,000","14,574,000","3,848,000","8,888,000","898,000","3,788,000","20,427,000","7,571,000","5,568,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"43,611,000","6,826,000","20,043,000","14,574,000","3,848,000","8,888,000","898,000","3,788,000","20,427,000","7,571,000","5,568,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"2,647,000","1,513,000","1,609,000","5,395,000","26,000","514,000","1,357,000","2,132,000","1,839,000","1,038,000","0","0","3,332,000","1,848,000","3,253,000","1,829,000","1,687,000","580,000","0","1,596,400","6,134,800","6,717,900","6,600,000","4,100,000","7,300,000","4,900,000","7,200,000","4,300,000","3,900,000","3,500,000","3,200,000","4,400,000","1,700,000","1,700,000","1,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"148,233,000","187,304,000","118,829,000","104,076,000","50,525,000","98,931,000","130,923,000","79,149,000","60,784,000","73,044,000","64,176,000","50,745,000","82,364,000","58,546,000","95,162,000","35,629,000","20,633,000","24,354,000","19,293,300","15,609,400","20,179,500","6,722,300","19,600,000","23,300,000","17,100,000","12,300,000","6,500,000","7,300,000","8,500,000","9,800,000","11,300,000","5,600,000","4,200,000","3,300,000","3,100,000"
		LongTermDebtAndCapitalLeaseObligation,"115,619,000","155,269,000","96,671,000","77,486,000","40,951,000","68,321,000","99,455,000","51,676,000","36,196,000","51,917,000","53,712,000","45,432,000","76,273,000","56,155,000","93,761,000","34,367,000","19,474,000","22,142,000","17,765,400","14,163,900","18,647,300","5,145,600","16,500,000","18,000,000","11,400,000","9,400,000","3,700,000","4,300,000","5,300,000","6,600,000","7,900,000","3,000,000","2,800,000","2,500,000","2,500,000"
			LongTermDebt,"107,442,000","148,766,000","96,671,000","77,486,000","40,951,000","68,321,000","99,455,000","51,676,000","36,196,000","51,917,000","53,712,000","45,432,000","76,273,000","56,155,000","93,761,000","34,367,000","19,474,000","22,142,000","17,765,400","14,163,900","18,647,300","5,145,600","16,500,000","18,000,000","11,400,000","9,400,000","3,700,000","4,300,000","5,300,000","6,600,000","7,900,000","3,000,000","2,800,000","2,500,000","2,500,000"
			LongTermCapitalLeaseObligation,"8,177,000","6,503,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"23,560,000","19,145,000","15,363,000","16,284,000","6,706,000","27,556,000","28,159,000","23,330,000","19,163,000","15,172,000","10,461,000","5,121,000","6,091,000","2,391,000","1,401,000","1,262,000","1,159,000","2,212,000","1,527,900","1,362,200","1,414,500","1,576,700","2,000,000","2,600,000","2,700,000","2,900,000","2,800,000","3,000,000","3,200,000","3,200,000","3,400,000","2,500,000","1,400,000","900,000",
			NonCurrentDeferredTaxesLiabilities,"23,560,000","19,145,000","15,363,000","16,284,000","6,706,000","27,556,000","28,159,000","23,330,000","19,163,000","15,172,000","10,461,000","5,121,000","6,091,000","2,391,000","1,401,000","1,262,000","1,159,000","2,212,000","1,527,900","1,362,200","1,414,500","1,576,700","2,000,000","2,600,000","2,700,000","2,900,000","2,800,000","3,000,000","3,200,000","3,200,000","3,400,000","2,500,000","1,400,000","900,000",
