name,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
			LongTermDebt,"1,455,100,000","1,523,500,000","1,883,800,000","1,258,000,000","1,131,100,000","1,028,500,000","692,400,000","478,100,000","781,100,000","791,800,000","436,700,000","649,700,000","849,500,000","1,031,400,000","475,200,000","382,400,000","608,500,000","702,200,000","731,200,000","816,500,000","813,400,000","893,600,000","359,200,000","219,800,000","223,100,000","272,000,000","220,100,000","87,100,000","31,700,000","172,400,000","182,400,000"
			LongTermCapitalLeaseObligation,"113,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"25,200,000","36,300,000","80,300,000","170,100,000","219,100,000","125,400,000","120,400,000","96,200,000","71,600,000","65,200,000",,,,"67,900,000","49,200,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"25,200,000","36,300,000","69,600,000","157,500,000","219,100,000","125,400,000","120,400,000","96,200,000","71,600,000","65,200,000",,,,"67,900,000","49,200,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,"0","10,700,000","12,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"96,200,000","86,900,000","75,700,000","78,600,000","94,800,000","92,500,000","93,800,000","96,500,000","118,500,000","112,100,000",,,,,,,,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"96,200,000","86,900,000","75,700,000","78,600,000","94,800,000","92,500,000","93,800,000","96,500,000","118,500,000","112,100,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"37,400,000","38,300,000","42,400,000","34,100,000","36,400,000","34,600,000","39,800,000","46,100,000","67,700,000","54,700,000","238,900,000","229,100,000","192,000,000","112,000,000","115,300,000","124,100,000","131,100,000","151,700,000","124,500,000","75,200,000","60,300,000","65,800,000","40,200,000","39,200,000","33,500,000","32,400,000","30,600,000","26,600,000","100,000",,
TotalEquityGrossMinorityInterest,"702,900,000","723,200,000","359,600,000","661,700,000","734,300,000","633,100,000","567,200,000","710,500,000","601,900,000","559,800,000","764,500,000","584,500,000","436,700,000","479,300,000","1,081,700,000","1,026,200,000","874,600,000","728,200,000","593,900,000","506,200,000","477,900,000","443,300,000","403,900,000","389,300,000","364,300,000","383,600,000","168,200,000","143,000,000","175,900,000","-100,000","-4,200,000"
	StockholdersEquity,"697,200,000","718,700,000","354,600,000","648,800,000","715,200,000","620,700,000","553,700,000","710,500,000","601,900,000","559,800,000","764,500,000","584,500,000","436,700,000","479,300,000","1,081,700,000","1,026,200,000","874,600,000","728,200,000","593,900,000","506,200,000","477,900,000","443,300,000","403,900,000","389,300,000","364,300,000","383,600,000","168,200,000","143,000,000","175,900,000","-100,000","-4,200,000"
		CapitalStock,"482,500,000","442,200,000","420,300,000","407,600,000","401,700,000","400,400,000","395,300,000","397,500,000","408,600,000","0","434,000,000","451,500,000","472,400,000","0","0","300,000","300,000","300,000","300,000","300,000","300,000","174,100,000","177,300,000","177,300,000","177,300,000","177,300,000",,,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,"173,900,000","177,300,000","177,300,000","177,300,000","177,300,000",,,,,
			CommonStock,"482,500,000","442,200,000","420,300,000","407,600,000","401,700,000","400,400,000","395,300,000","397,500,000","408,600,000","0","434,000,000","451,500,000","472,400,000","0","0","300,000","300,000","300,000","300,000","300,000","300,000","200,000","0","0","0","0",,,,,
		AdditionalPaidInCapital,,,,,,,,,,"427,100,000",,,,"480,300,000","509,100,000","503,200,000","443,000,000","390,100,000","398,600,000","398,300,000","389,300,000","213,900,000",,,,,,,,,
		RetainedEarnings,"1,235,600,000","1,274,700,000","919,900,000","978,200,000","881,800,000","684,200,000","636,900,000","703,400,000","630,200,000","599,200,000","499,600,000","337,500,000","216,700,000","260,500,000","690,700,000","591,500,000","499,500,000","398,600,000","294,800,000","212,300,000","196,800,000","130,100,000","76,600,000","50,100,000","20,400,000","35,400,000","13,900,000","-9,000,000","-16,900,000","-27,700,000","-32,000,000"
		TreasuryStock,"921,800,000","904,300,000","939,600,000","667,800,000","451,400,000","357,100,000","392,300,000","312,600,000","349,600,000","388,500,000","92,000,000","131,700,000","185,300,000","219,500,000","66,500,000",,,,"41,800,000","70,000,000","83,500,000","61,900,000",,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-99,100,000","-93,900,000","-46,000,000","-69,200,000","-116,900,000","-106,800,000","-86,200,000","-77,800,000","-87,300,000","-78,000,000","-77,100,000","-72,800,000","-67,100,000","-42,000,000","-51,600,000","-68,800,000","-68,200,000","-60,800,000","-58,000,000","-34,700,000","-25,000,000","-12,900,000",,,,,,,,,
