,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
34,"		GoodwillAndOtherIntangibleAssets","1,095,000,000","1,113,000,000","1,031,000,000","2,420,000,000","2,730,000,000","2,686,000,000","2,665,000,000","2,742,000,000","2,755,000,000","2,610,000,000","2,212,000,000","2,437,000,000","2,430,000,000","3,759,000,000","3,737,000,000","3,637,000,000",,,,
35,"			Goodwill","964,000,000","970,000,000","922,000,000","1,336,000,000","1,603,000,000","1,563,000,000","1,551,000,000","1,590,000,000","1,566,000,000","1,479,000,000","1,481,000,000","1,386,000,000","1,353,000,000","2,723,000,000","2,699,000,000","2,645,000,000",,,,
36,"			OtherIntangibleAssets","131,000,000","143,000,000","109,000,000","1,084,000,000","1,127,000,000","1,123,000,000","1,114,000,000","1,152,000,000","1,189,000,000","1,131,000,000","731,000,000","1,051,000,000","1,077,000,000","1,036,000,000","1,038,000,000","992,000,000",,,,
37,"		NonCurrentAccountsReceivable",,,,"2,649,000,000","2,515,000,000","2,438,000,000","2,406,000,000","2,448,000,000","2,571,000,000","2,551,000,000","3,127,000,000","2,792,000,000","2,963,000,000",,,,,,,
38,"		OtherNonCurrentAssets",,,,"1,289,000,000","1,422,000,000","1,324,000,000","1,241,000,000","1,056,000,000","979,000,000","1,015,000,000","1,284,000,000","1,430,000,000","1,228,000,000","3,635,000,000","2,815,000,000","2,244,000,000",,,,
39,TotalLiabilitiesNetMinorityInterest,"8,581,000,000","7,977,000,000","7,727,000,000","9,520,000,000","9,101,000,000","8,763,000,000","8,422,000,000","8,116,000,000","7,532,000,000","6,791,000,000","6,499,000,000","6,664,000,000","7,231,000,000","6,943,000,000","5,961,000,000","4,134,000,000","3,664,000,000","2,758,000,000","1,649,000,000","1,036,000,000"
40,"	CurrentLiabilities","803,000,000","1,343,000,000","1,753,000,000","2,539,000,000","2,032,000,000","1,957,000,000","1,859,000,000","1,790,000,000","1,931,000,000","1,563,000,000","1,575,000,000","1,885,000,000","2,169,000,000","2,180,000,000","1,977,000,000","1,295,000,000",,,,
41,"		PayablesAndAccruedExpenses","599,000,000","680,000,000","838,000,000","945,000,000","1,218,000,000","1,177,000,000","1,127,000,000","1,059,000,000","1,004,000,000","919,000,000","940,000,000","1,084,000,000","1,034,000,000","1,046,000,000","952,000,000","669,000,000",,,,
42,"			Payables","174,000,000","200,000,000","285,000,000","321,000,000","605,000,000","496,000,000","514,000,000","503,000,000","432,000,000","381,000,000","384,000,000","505,000,000","396,000,000","380,000,000","377,000,000","239,000,000",,,,
43,"				AccountsPayable","62,000,000","73,000,000","66,000,000","256,000,000","468,000,000","394,000,000","385,000,000","360,000,000","307,000,000","278,000,000","274,000,000","260,000,000","316,000,000","380,000,000","377,000,000","239,000,000",,,,
44,"				TotalTaxPayable","73,000,000","86,000,000","117,000,000","65,000,000","137,000,000","102,000,000","129,000,000","120,000,000","103,000,000","93,000,000","63,000,000",,,,,,,,,
45,"				DuetoRelatedPartiesCurrent",,,,,,,,"23,000,000","22,000,000","10,000,000","47,000,000",,,,,,,,,
46,"				OtherPayable","39,000,000","41,000,000","102,000,000",,,,,"23,000,000",,,,"245,000,000","80,000,000",,0,0,,,,
47,"			CurrentAccruedExpenses","425,000,000","480,000,000","553,000,000","624,000,000","613,000,000","681,000,000","613,000,000","556,000,000","572,000,000","538,000,000","556,000,000","579,000,000","638,000,000","666,000,000","575,000,000","430,000,000",,,,
48,"				InterestPayable","65,000,000","41,000,000","39,000,000","40,000,000","44,000,000","49,000,000","45,000,000","47,000,000","46,000,000","37,000,000","32,000,000",,,,,,,,,
49,"		PensionandOtherPostRetirementBenefitPlansCurrent",,,,,,,,"239,000,000",,,,,,,,,,,,
50,"		CurrentDebtAndCapitalLeaseObligation",,,,"321,000,000","229,000,000","253,000,000","261,000,000","233,000,000","544,000,000","242,000,000","234,000,000","175,000,000","169,000,000","412,000,000","293,000,000","355,000,000",,,,
51,"			CurrentDebt",,,,"321,000,000","229,000,000","253,000,000","261,000,000","233,000,000","544,000,000","242,000,000","234,000,000","175,000,000","169,000,000","412,000,000","293,000,000","355,000,000",,,,
52,"				OtherCurrentBorrowings",,,,"321,000,000","229,000,000","253,000,000","261,000,000","233,000,000","544,000,000",,,,,,,,,,,
53,"		CurrentDeferredLiabilities",,"541,000,000","561,000,000","493,000,000","500,000,000","483,000,000","464,000,000","451,000,000","383,000,000","402,000,000","401,000,000","417,000,000","672,000,000","612,000,000","545,000,000","271,000,000",,,,
54,"			CurrentDeferredRevenue",,"541,000,000","518,000,000","493,000,000","500,000,000","483,000,000","464,000,000","451,000,000","383,000,000","402,000,000","401,000,000","417,000,000","672,000,000","612,000,000","545,000,000","271,000,000",,,,
55,"		OtherCurrentLiabilities","204,000,000","122,000,000","354,000,000","780,000,000","85,000,000","44,000,000","7,000,000","47,000,000",,,,"209,000,000","294,000,000","110,000,000","187,000,000",0,,,,
56,"	TotalNonCurrentLiabilitiesNetMinorityInterest","7,778,000,000","6,634,000,000","5,974,000,000","6,981,000,000","7,069,000,000","6,806,000,000","6,563,000,000","6,326,000,000","5,601,000,000","5,228,000,000","4,924,000,000","4,779,000,000","5,062,000,000","4,763,000,000","3,984,000,000","2,839,000,000",,,,
57,"		LongTermDebtAndCapitalLeaseObligation","6,575,000,000","5,755,000,000","5,238,000,000","5,686,000,000","5,283,000,000","4,955,000,000","4,792,000,000","4,608,000,000","4,018,000,000","3,773,000,000","3,510,000,000","1,840,000,000","1,815,000,000","3,195,000,000","2,607,000,000","1,687,000,000",,,,
58,"			LongTermDebt","6,411,000,000","5,570,000,000","5,235,000,000","5,686,000,000","5,283,000,000","4,955,000,000","4,792,000,000","4,608,000,000","4,018,000,000","3,773,000,000","3,510,000,000","1,840,000,000","1,815,000,000","3,195,000,000","2,607,000,000","1,687,000,000",,,,
59,"			LongTermCapitalLeaseObligation","164,000,000","185,000,000","3,000,000",,,,,,,,,,,,,,,,,
60,"		NonCurrentDeferredLiabilities","1,203,000,000","879,000,000","736,000,000","954,000,000","1,411,000,000","1,450,000,000","1,401,000,000","1,365,000,000","1,348,000,000","1,247,000,000","1,227,000,000","1,404,000,000","1,277,000,000","927,000,000","782,000,000","823,000,000",,,,
61,"			NonCurrentDeferredTaxesLiabilities",,,,,,,,"1,173,000,000",,"1,065,000,000","1,021,000,000","1,137,000,000","966,000,000","927,000,000","782,000,000","823,000,000",,,,
62,"			NonCurrentDeferredRevenue","1,182,000,000","835,000,000","736,000,000","954,000,000","1,411,000,000","1,450,000,000","1,401,000,000","1,365,000,000","1,348,000,000","182,000,000","206,000,000","267,000,000","311,000,000",,,,,,,
63,"		TradeandOtherPayablesNonCurrent",,,,,,,,0,0,0,0,,,,,,,,,
64,"		DuetoRelatedPartiesNonCurrent",,,,,,,,"14,000,000","17,000,000","37,000,000","30,000,000",,,,,,,,,
65,"		LiabilitiesHeldforSaleNonCurrent",,,,0,,,,,,,,,,,,,,,,
66,"		OtherNonCurrentLiabilities",,,,"341,000,000","375,000,000","401,000,000","370,000,000","339,000,000","218,000,000","171,000,000","157,000,000","1,535,000,000","1,970,000,000","641,000,000","595,000,000","329,000,000",,,,
67,TotalEquityGrossMinorityInterest,"-968,000,000","-524,000,000","-569,000,000","883,000,000","718,000,000","953,000,000","1,257,000,000","1,625,000,000","1,931,000,000","2,232,000,000","2,917,000,000","2,688,000,000","2,342,000,000","3,516,000,000","3,559,000,000","5,033,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
