"","entity.cik","entity.name","period.start","period.end","period.fiscal.year","location","CurrentRatio","DERatio","NetMargin","OperatingMargin","QuickRatio","ROA1","ROC1","ROE1","eps","const","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","BurntArea"
"218",1121702,"METABOLIX, INC.","1/1/12","31/12/12",2012,"MA",8.18098262,NA,0.085783155,0.092849041,7.645554813,0.067837787,NA,0.076679341,0.11,35.7359609368957,-8.48585682333268,-26.8607732442962,1.93448451004686,-1.03838630046957,-1.02854938286169,-0.187927490966537,-0.281781843371521,0.0687897858901016,-1.361639136629,2.33726630909362,0.281077670994817,1.39533079609224e-05,1027
"219",1121702,"METABOLIX, INC.","1/1/11","31/12/11",2011,"MA",10.94752268,NA,-27.21754386,-27.27087719,10.94752268,-0.467785122,NA,-0.98281935,-1.24,32.6303938389247,-13.9480118730109,-28.653926641827,-2.72811918073465,-0.633214117855296,-2.73461922588168,0.532605560351943,-1.24698188402931,-0.292509683028224,-1.5704834677321,-0.860570804791991,0.432945344737084,8.50880986106112e-06,545
"220",1121702,"METABOLIX, INC.","1/1/10","31/12/10",2010,"MA",9.891477717,NA,-86.61383929,-86.91741071,9.891477717,-0.581135523,NA,-1.638917047,-1.45,34.0414378968241,-9.23931569196113,-30.4064321171159,0.563995009246725,-2.36067597147952,-1.00372332379388,-0.709274721385646,-0.0364159722299431,0.0745052577147949,0.216815048337243,-0.467066496783364,1.27434124860912,3.17215652920316e-05,2156
"221",1121702,"METABOLIX, INC.","1/1/09","31/12/09",2009,"MA",20.46317405,NA,-26.63649123,-27.17824561,20.46317405,-0.38908707,NA,-0.689575612,-1.62,29.0205112808165,-11.2311699874893,-28.5536717255178,-1.45622164131887,-2.43174020246161,-3.18235430594704,-0.479200666126026,-0.816707726710426,-3.6681081674928,0.404168787333592,-1.52732374239657,-0.302510608832254,3.26764903497133e-05,1144
"222",1121702,"METABOLIX, INC.","1/1/08","31/12/08",2008,"MA",19.92212581,NA,-23.15434084,-25.01093248,19.92212581,-0.371392321,NA,-0.609314447,-1.58,30.6521031415464,-10.9514031276292,-28.0575535071357,0.31802541591809,0.888833217358026,-0.430703249546565,0.10045893552286,0.494974379824509,1.33742040697901,0.53440154180606,-2.18244001704578,0.048581325849965,-1.19436895511609e-05,2918
"223",1121702,"","1/1/07","31/12/07",2007,"MA",23.94204765,NA,-16.56268568,-20.09269162,23.94204765,-234.235824,NA,-0.312492993,-1.27,29.9243531272329,-14.036554841578,-29.0896906610403,-1.01633411144216,-0.608465380697353,1.81490035615326,0.967927610736213,1.3834533916095,1.30047396411222,1.31605093703009,2.43218344387316,1.05715414479965,8.17624889412514e-06,2687
"224",1121702,"","1/1/06","31/12/06",2006,"MA",38.31108351,NA,-3.499346405,-3.817864924,38.31108351,-0.125881689,NA,-0.146567142,-2.96,33.7371743049612,-11.5854274811865,-25.0523613524245,-1.34823996917294,3.06283299998909,-2.25079975708793,0.661932005360092,0.725844572699798,0.639520472384803,0.719925344361275,-1.07413546053065,0.67993443832966,-4.11567949828304e-05,2821
"225",1121702,"","1/1/05","31/12/05",2005,"MA",1.264379415,NA,-2.741819489,-2.525710176,1.264379415,-1.040955631,NA,0.163774217,-2.56,30.5245087320555,-14.4310647133016,-30.1181743029059,0.52745678720461,-1.12429977374642,-0.896624861244227,-0.948586378803419,0.188090264333317,-0.0620536940967097,1.39006058839404,-3.18881623481328,-1.33414935135121,1.5107769599792e-05,2530
"227",1477246,"S&W Seed Co","1/7/19","30/6/20",2020,"CO",1.680671923,0.198059279,-0.247220163,-0.23577822,0.466173771,-0.12615334,-0.022858931,-0.241889564,-0.59,28.0061068578504,-8.46359013804254,-29.3600080184347,3.29619667298304,0.580534663047692,-0.738430906332858,1.4312511475964,-2.81074737114631,0.359258228980927,1.1365867652993,-0.540990376709596,1.89018099680481,-7.80093008705415e-06,40392
"228",1477246,"S&W Seed Co","1/7/18","30/6/19",2019,"CO",2.7012062,0.132718343,-0.084807046,-0.045512402,0.599800551,-0.063575913,0.027099203,-0.093054084,-0.31,24.7492739893517,-10.8099214221262,-28.5221485681304,3.95857951916761,-0.703217688673468,-1.40411568787789,1.11024443634655,0.609172040312587,2.87263696389127,0.491419963569246,-1.68834642243162,0.412328900147564,9.44948230802236e-06,475803
"229",1477246,"S&W Seed Co","1/7/17","30/6/18",2018,"CO",1.88417509,0.164910065,-0.07373102,-0.046712463,0.459065015,-0.034297639,0.063549295,-0.057804835,-0.21,30.2875064465532,-8.7125859266559,-26.8705778606931,-0.211676736835874,1.42517370690939,0.0557142947019287,-0.982361366380701,-0.793726773361439,-0.107165096713065,1.21408232418492,-0.175921617030034,1.64257953342974,-1.91507607715149e-05,111667
"230",1477246,"S&W Seed Co","1/7/16","30/6/17",2017,"CO",1.105456089,0.18630367,-0.156845488,-0.031953486,0.491771694,-0.100956558,-0.003554415,-0.193102294,-0.67,30.1847380986374,-8.56913689064588,-26.1388367747137,3.00368677484469,-2.79908217256303,0.300510779601309,-5.36733614031524,-0.394211738217376,-0.0830784654518404,0.559635230151546,-0.563661551267552,0.317819850259372,3.76126452608576e-05,129495
"231",1477246,"S&W Seed Co","1/7/15","30/6/16",2016,"CO",1.391090764,0.269032564,0.003802695,0.021275755,0.863382195,0.00287569,0.146413639,0.005389894,0.02,28.7809109191028,-9.95732606924574,-27.5857272605124,3.78527812098938,-2.30658230312003,2.15467094914387,-2.32845335916368,-1.21763697436829,1.14472735688923,0.956323232194683,-0.409271524428415,-0.921412204810621,3.09946820345786e-05,22602
"232",1477246,"S&W Seed Co","1/7/14","30/6/15",2015,"CO",1.338607476,0.42739677,-0.038950495,0.029379513,0.737872294,-0.025854567,0.155369155,-0.060975231,-0.25,28.9174542577662,-8.14463649192255,-26.1192802572243,4.24516981686514,-1.08151981380198,0.938482751394903,-2.10415280638609,-0.370877231739939,2.83222041313091,0.775134192166335,0.238779549291083,-0.264339566762117,1.4532914215908e-05,2494
"233",1477246,"S&W Seed Co","1/7/13","30/6/14",2014,"CO",1.677178023,0.091632827,0.007239931,0.020606636,0.815432429,0.004178032,0.057037757,0.007242658,0.03,26.4634269385757,-9.75461623243602,-28.9435500540905,3.75343475487478,-1.1858180632533,0.252302038028419,0.11431534008166,-0.632152993661584,0.344969549419186,1.21561262547897,-1.25844621181607,1.59420233105752,1.59344211470742e-05,195145
