name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,04/30/1999,04/30/1998,04/30/1997,04/30/1996
BasicAverageShares,,"13,722,000","14,539,100","14,678,000","14,661,950","14,656,650","14,643,900","14,626,650","13,879,150","13,813,800","13,794,950","13,782,750","12,496,250","6,325,350","6,286,821","6,272,606","6,167,030","9,966,359","9,374,750","9,256,096","9,132,794","8,401,032","15,785,460","14,499,067","14,318,922","20,448,542","11,671,102"
DilutedAverageShares,,"13,722,000","14,858,950","14,678,000","14,661,950","14,656,650","14,643,900","14,690,200","14,394,050","14,331,350","14,435,800","14,253,050","12,980,250","6,345,600","6,286,821","6,272,606","6,271,396","10,108,061","9,539,702","9,479,135","9,343,348","8,895,210","15,785,460","15,093,291","15,123,355","21,501,040","12,643,693"
TotalOperatingIncomeAsReported,,,,"9,471,000","-88,078,000","-155,979,000","-461,263,000","225,002,000","305,674,000","170,798,000","328,688,000",,,"352,705,197","356,351,177","595,278,425","465,378,532","424,452,844","297,110,000","159,021,000","384,377,000","238,084,000","63,100,000","116,700,000","261,200,000","85,500,000","31,300,000"
TotalExpenses,"909,876,000","970,611,000","1,496,856,000","1,531,718,000","1,393,989,000","1,101,636,000","1,714,257,000","2,125,536,000","1,724,303,000","1,869,943,000","1,622,339,000","1,176,989,000","1,010,618,000","749,185,284","652,849,340","842,305,452","786,287,941","1,900,763,139","1,620,823,000","1,530,129,000","1,569,186,000","1,117,369,000","448,300,000","577,200,000","751,300,000","369,500,000","131,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","161,703,000","302,729,480","345,775,151","579,588,770","295,180,835","248,020,159","188,676,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,500,000","42,400,000","17,600,000"
NormalizedIncome,"-199,473,400","-144,497,370","-41,634,750","-107,039,762.203","-116,333,460","-146,734,265","-179,529,059.607","103,820,000","183,287,877.926","94,690,750","171,437,798.242","52,938,360","39,288,508.754","300,915,235.236","345,175,301.185","571,770,537.855","339,029,608.507","248,521,438.081","186,839,554.025","93,789,368.349","186,284,183.879","131,534,870.47","21,140,000","44,580,000","117,560,000","42,460,000","17,780,000"
InterestIncome,,"739,000","1,576,000","1,444,000","1,858,000","3,445,000","17,861,000","987,000","967,000","1,933,000",,,,,,,,,,,,,,,,,
InterestExpense,"96,485,000","102,004,000","114,140,000","122,188,000","129,464,000","138,561,000","133,161,000","107,205,000","89,872,000","85,251,000","115,332,000","211,327,000","147,401,000",,,,,,,,,,,,,,
NetInterestIncome,"-101,949,000","-107,468,000","-118,453,000","-127,178,000","-137,928,000","-146,360,000","-121,043,000","-109,701,000","-93,248,000","-86,680,000","-115,332,000","-211,327,000","-147,401,000",,,,,,,,,,,,,,
EBIT,"-75,229,000","-7,180,000","105,801,000","-201,408,000","-102,593,000","-170,025,000","-433,011,000","128,282,000","311,410,000","112,928,000","356,116,000","265,376,000","309,674,000","352,705,197","356,351,176","595,278,425","482,891,033","424,452,844","297,110,000","159,021,000","384,377,000","238,084,000","63,100,000","116,700,000","261,200,000","85,500,000","31,300,000"
EBITDA,"218,772,000"
ReconciledCostOfRevenue,"824,218,000","899,742,000","1,372,583,000","1,433,531,000","1,303,917,000","998,954,000","1,410,995,000","1,854,496,000","1,581,796,000","1,550,826,000","1,131,022,000","886,748,000","692,243,000","597,383,439","516,093,952","688,207,130","640,352,367","1,469,648,429","1,272,148,000","1,190,991,000","1,233,723,000","869,479,000","345,500,000","449,000,000","619,400,000","314,900,000","111,800,000"
ReconciledDepreciation,"294,001,000","316,322,000","333,616,000","365,660,000","377,746,000","391,659,000","486,655,000","448,669,000","333,159,000","307,525,000","251,483,000","182,719,000","138,000,000","84,627,246","78,325,554","73,233,924","73,013,141","205,407,967","172,074,000","141,429,000","181,310,000","124,754,000","57,900,000","77,100,000","72,600,000","25,200,000","7,700,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-178,012,000","-120,138,000","6,618,000","-294,270,000","-132,036,000","-155,555,000","-363,436,000","33,152,000","191,150,000","52,360,000","193,477,000","62,091,000","161,703,000","302,729,480","342,819,545","572,511,650","220,847,773","249,587,234","191,131,000","91,265,000","188,044,000","131,560,000","20,600,000","53,400,000","117,500,000","42,400,000","17,600,000"
TotalUnusualItemsExcludingGoodwill,"35,769,000","33,142,000","65,650,000","-205,889,000","-21,364,000","-12,001,000","-286,496,000","-94,224,000","9,112,000","-56,441,000","27,428,000","12,712,000","122,846,000","2,041,039","-2,398,451","760,718","-156,915,920","1,624,670","5,920,000","-3,418,000","2,911,000","40,000","-900,000","14,700,000","-100,000","-100,000","-300,000"
TotalUnusualItems,"35,769,000","33,142,000","65,650,000","-205,889,000","-21,364,000","-12,001,000","-286,496,000","-94,224,000","9,112,000","-56,441,000","27,428,000","12,712,000","122,846,000","2,041,039","-2,398,451","760,718","-156,915,920","1,624,670","5,920,000","-3,418,000","2,911,000","40,000","-900,000","14,700,000","-100,000","-100,000","-300,000"
NormalizedEBITDA,"183,003,000","276,000,000","373,767,000","370,141,000","296,517,000","233,635,000","340,140,000","671,175,000","635,457,000","476,894,000","580,171,000","435,383,000","324,828,000","435,291,404","437,075,181","667,751,631","712,820,094","628,236,141","463,264,000","303,868,000","562,776,000","362,798,000","121,900,000","179,100,000","333,900,000","110,800,000","39,300,000"
TaxRateForCalcs,"0.4","0.265","0.265","0.091","0.265","0.265","0.358","0.25","0.137","0.25","0.196","0.28","0.004","0.111","0.018","0.026","0.247","0.344","0.275","0.261","0.395","0.372","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"14,307,600","8,782,630","17,397,250","-18,658,762.203","-5,661,460","-3,180,265","-102,589,059.607","-23,556,000","1,249,877.926","-14,110,250","5,388,798.242","3,559,360","431,508.754","226,794.236","-42,694.815","19,605.855","-38,734,084.493","558,874.081","1,628,554.025","-893,631.651","1,151,183.879","14,870.47","-360,000","5,880,000","-40,000","-40,000","-120,000"
