name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
DilutedEPS,,"-2.35","-0.5","-0.65","-2.18","0.3","-1.89","1.17","1.47","1.6","1.29","0.31","0.46","0.81","1.13","1.81","1.56","1.12","1.015","0.77","0.97","0.6","0.275","0.675","0.59","0.365","0.315","0.365","0.15"
BasicAverageShares,,"39,608,191","39,608,191","24,551,542","17,945,661","17,945,661","17,945,661","17,948,502","17,969,415","17,988,552","18,083,411","18,148,246","18,230,913","18,255,099","18,275,846","18,445,169","18,639,406","18,073,593","18,011,483","18,187,474","18,161,842","18,161,842","18,571,429","18,970,588","19,000,000","18,441,558","18,484,848","18,181,818","16,250,000"
DilutedAverageShares,,"39,608,191","39,608,191","24,551,542","17,945,661","17,957,111","17,945,661","18,059,006","18,055,982","17,990,991","18,095,611","18,148,246","18,230,913","18,255,099","18,275,846","18,648,983","18,758,890","18,638,393","18,543,842","18,916,226","18,161,842","18,161,842","18,909,091","19,111,111","19,322,034","19,452,055","19,365,079","19,178,082","17,333,333"
TotalOperatingIncomeAsReported,,,,,"-31,743,000","431,000","-55,387,000","4,348,000","16,162,000","36,842,000","30,364,000","7,632,000","11,196,000","17,120,000","26,660,046","45,174,744","42,702,640","31,416,000","28,288,000","24,146,000","28,877,000","18,225,000","7,800,000","14,800,000","20,000,000","11,100,000","9,900,000","11,200,000","4,100,000"
TotalExpenses,"115,189,000","137,222,000","194,588,000","135,800,000","102,941,000","60,630,000","125,907,000","160,926,000","151,371,000","202,812,000","169,570,000","103,499,000","95,067,000","120,126,000","116,284,636","129,368,593","119,406,908","104,331,000","95,790,000","78,749,000","81,967,000","70,216,000","53,500,000","60,700,000","69,100,000","52,200,000","47,500,000","50,300,000","40,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","14,847,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
NormalizedIncome,"-25,338,044.243","-20,475,577.94","-19,269,383.889","-16,355,745","-18,000,972","5,265,280","-1,463,246.116","20,677,223.961","26,436,242","27,893,052.003","22,777,299.509","5,630,658.637","8,101,159.566","12,551,907.813","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
InterestIncome,"24,000","35,000","20,000","84,000","439,000","965,000","130,000","172,000","345,000","419,000","638,000","773,000","524,000","1,814,000","1,392,392","1,937,325","1,235,027","920,000","956,000","594,000",,"1,107,000",,,,,,,
InterestExpense,"5,127,000","5,637,000","6,771,000","2,121,000","168,000","163,000","356,000","262,000","108,000","4,000","23,000",,,,,,"138,388","724,000","1,045,000","1,611,000",,,,,,,,,
NetInterestIncome,"-5,103,000","-5,602,000","-6,751,000","-2,037,000","271,000","802,000","-226,000","-90,000","237,000","415,000","615,000","773,000","524,000","1,814,000","1,392,392","1,937,325","1,096,639","196,000","-89,000","-1,017,000",,"1,107,000",,,,,,,
EBIT,"-41,570,000","-97,064,000","-17,908,000","-10,167,000","-53,062,000","7,698,000","-44,188,000","28,383,000","35,790,000","38,348,000","31,785,000","7,632,000","11,196,000","17,120,000","26,660,046","45,174,743","42,702,640","31,416,000","28,288,000","24,146,000","28,877,000","18,225,000","7,800,000","14,800,000","20,000,000","11,100,000","9,900,000","11,200,000","4,100,000"
EBITDA,"-11,495,000"
ReconciledCostOfRevenue,"30,075,000","32,681,000","36,763,000","26,614,000","27,126,000","23,959,000","36,748,000","30,200,000","26,825,000","24,342,000","132,520,000","69,162,000","67,649,000","87,123,000","85,107,756","99,969,711","92,575,881","79,481,000","74,735,000","59,859,000","63,584,000","55,875,000","41,800,000","48,200,000","58,200,000","44,500,000","40,900,000","44,500,000","35,500,000"
ReconciledDepreciation,"30,075,000","32,681,000","36,763,000","26,614,000","27,126,000","23,959,000","36,748,000","30,200,000","26,825,000","24,342,000","20,933,000","20,873,000","17,476,000","16,667,000","15,402,721","14,211,323","12,691,011","11,345,000","9,508,000","8,889,000","7,763,000","6,551,000","5,600,000","5,000,000","4,200,000","2,500,000","2,200,000","2,000,000","1,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-44,668,000","-93,274,000","-19,875,000","-15,939,000","-39,177,000","5,329,000","-33,965,000","21,079,000","26,515,000","28,703,000","23,353,000","5,701,000","8,380,000","12,986,000","20,751,812","33,754,660","29,263,868","20,875,000","18,822,000","14,345,000","17,889,000","11,157,000","5,200,000","12,900,000","11,400,000","7,100,000","6,100,000","7,000,000","2,600,000"
TotalUnusualItemsExcludingGoodwill,"-20,208,000","-80,156,000","-752,000","567,000","-28,929,000","90,000","-42,625,000","536,000","106,000","1,082,000","783,000","105,000","396,000","673,000",,,,,,,,,,,,,,,
TotalUnusualItems,"-20,208,000","-80,156,000","-752,000","567,000","-28,929,000","90,000","-42,625,000","536,000","106,000","1,082,000","783,000","105,000","396,000","673,000",,,,,,,,,,,,,,,
NormalizedEBITDA,"8,713,000","15,773,000","19,607,000","15,880,000","2,993,000","31,567,000","35,185,000","58,047,000","62,509,000","61,608,000","51,935,000","28,400,000","28,276,000","33,114,000","42,062,767","59,386,066","55,393,651","42,761,000","37,796,000","33,035,000","36,640,000","24,776,000","13,400,000","19,800,000","24,200,000","13,600,000","12,100,000","13,200,000","5,400,000"
TaxRateForCalcs,"0.043","0.092","0.195","0.265","0.268","0.292","0.237","0.25","0.257","0.251","0.265","0.33","0.296","0.355","0.263","0.299","0.346","0.35","0.344","0.389","0.4","0.4","0.4","0.348","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-878,044.243","-7,357,577.94","-146,383.889","150,255","-7,752,972","26,280","-10,123,246.116","134,223.961","27,242","272,052.003","207,299.509","34,658.637","117,159.566","238,907.813","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
