name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
				MachineryFurnitureEquipment,"68,375,000","53,848,000","42,620,000","37,916,000","31,405,000","27,644,000"
				OtherProperties,"36,239,000","41,638,000",,,,
			AccumulatedDepreciation,"-49,307,000","-34,770,000","-24,963,000","-24,599,000","-20,061,000","-15,162,000"
		GoodwillAndOtherIntangibleAssets,"219,712,000","96,575,000","73,719,000","74,157,000","70,306,000","65,780,000"
			Goodwill,"123,217,000","46,956,000","36,207,000","38,733,000","38,894,000","38,554,000"
			OtherIntangibleAssets,"96,495,000","49,619,000","37,512,000","35,424,000","31,412,000","27,226,000"
		NonCurrentDeferredAssets,"57,742,000","25,351,000","12,751,000","4,658,000",,
			NonCurrentDeferredTaxesAssets,"57,742,000","25,351,000","12,751,000","4,658,000",,
		OtherNonCurrentAssets,"14,053,000","25,351,000","12,751,000","10,000,000","20,459,000","14,697,000"
TotalLiabilitiesNetMinorityInterest,"747,248,000","606,977,000","516,373,000","520,736,000","435,973,000","431,348,000"
	CurrentLiabilities,"372,318,000","440,808,000","389,162,000","387,606,000","288,151,000","283,495,000"
		PayablesAndAccruedExpenses,"328,346,000","389,383,000","333,810,000","335,163,000","243,405,000","234,761,000"
			Payables,"328,346,000","389,383,000","333,810,000","335,163,000","243,405,000","234,761,000"
				AccountsPayable,"261,596,000","266,627,000","219,290,000","213,164,000","123,529,000","143,683,000"
				TotalTaxPayable,"32,955,000","10,958,000","8,586,000","5,517,000","14,914,000","8,234,000"
				DuetoRelatedPartiesCurrent,"19,351,000","86,602,000","83,904,000","85,341,000","71,696,000","58,596,000"
				OtherPayable,"14,444,000","25,196,000","22,030,000","31,141,000","33,266,000","24,248,000"
		CurrentProvisions,,,"8,513,000","6,285,000","3,353,000","5,130,000"
		CurrentDebtAndCapitalLeaseObligation,"17,540,000","25,707,000","31,162,000","8,220,000","7,179,000","2,019,000"
			CurrentDebt,"8,949,000","19,209,000","31,162,000","8,220,000","7,179,000","2,019,000"
				OtherCurrentBorrowings,"8,949,000","19,209,000","31,162,000","8,220,000","7,179,000","2,019,000"
			CurrentCapitalLeaseObligation,"8,591,000","6,498,000",,,,
		CurrentDeferredLiabilities,"9,324,000","8,853,000","8,229,000","30,113,000","29,095,000","36,681,000"
			CurrentDeferredRevenue,"9,324,000","8,853,000","8,229,000","30,113,000","29,095,000","36,681,000"
		OtherCurrentLiabilities,"17,108,000","16,865,000","7,448,000","7,825,000","5,119,000","4,904,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"374,930,000","166,169,000","127,211,000","133,130,000","147,822,000","147,853,000"
		LongTermDebtAndCapitalLeaseObligation,"53,551,000","34,469,000",,,,
			LongTermDebt,"24,857,000",,,,,
			LongTermCapitalLeaseObligation,"28,694,000","34,469,000",,,,
		NonCurrentDeferredLiabilities,"11,111,000",,,,,
			NonCurrentDeferredTaxesLiabilities,"11,111,000",,,,,
		TradeandOtherPayablesNonCurrent,"9,366,000","1,427,000","0","1,015,000","409,000","861,000"
		DuetoRelatedPartiesNonCurrent,"125,000,000","125,000,000","125,000,000","125,000,000","125,000,000","125,000,000"
		NonCurrentAccruedExpenses,"3,765,000",,,,,
		PreferredSecuritiesOutsideStockEquity,"141,007,000",,,,,
		OtherNonCurrentLiabilities,"31,130,000","5,273,000","2,211,000","7,115,000","22,413,000","21,992,000"
TotalEquityGrossMinorityInterest,"93,730,000","194,236,000","247,574,000","217,958,000","-82,263,000","-83,133,000"
	StockholdersEquity,"93,730,000","194,236,000","247,574,000","217,958,000","-82,263,000","-83,133,000"
		CapitalStock,"265,698,000","261,608,000","255,254,000","253,535,000","6,000","6,000"
			CommonStock,"265,698,000","261,608,000","255,254,000","253,535,000","6,000","6,000"
		AdditionalPaidInCapital,"379,780,000","327,523,000","321,627,000","316,444,000","312,155,000","311,581,000"
		RetainedEarnings,"-470,173,000","-326,510,000","-305,600,000","-367,616,000","-409,982,000","-427,779,000"
		TreasuryStock,"68,267,000","68,267,000","26,030,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-13,308,000","-118,000","2,323,000","15,595,000","15,558,000","33,059,000"
			OtherEquityAdjustments,"-13,308,000","-118,000","2,323,000","15,595,000","15,558,000","33,059,000"
TotalCapitalization,"118,587,000","194,236,000","247,574,000","217,958,000","-82,263,000","-83,133,000"
CommonStockEquity,"93,730,000","194,236,000","247,574,000","217,958,000","-82,263,000","-83,133,000"
CapitalLeaseObligations,"37,285,000","40,967,000",,,,
NetTangibleAssets,"-125,982,000","97,661,000","173,855,000","143,801,000","-152,569,000","-148,913,000"
WorkingCapital,"118,452,000","175,636,000","268,599,000","246,102,000","-38,923,000","-30,925,000"
InvestedCapital,"127,536,000","213,445,000","278,736,000","226,178,000","-75,084,000","-81,114,000"
TangibleBookValue,"-125,982,000","97,661,000","173,855,000","143,801,000","-152,569,000","-148,913,000"
TotalDebt,"71,091,000","60,176,000","31,162,000","8,220,000","7,179,000","2,019,000"
ShareIssued,"70,099,328","69,648,263","69,235,699","69,097,610","67,182,110","67,182,110"
OrdinarySharesNumber,"70,099,328","69,648,263","69,235,699","69,097,610","67,182,110","67,182,110"
