name,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009
CommonStockEquity,"858,237,000","1,357,175,000","1,558,634,000","1,404,801,000","77,609,000","157,258,000","161,585,020","101,299,901","118,716,169","76,275,880","-24,955,435","-27,237,520"
CapitalLeaseObligations,"24,553,000",,,"0","7,000","24,000","42,952","82,914",,,"92,732","75,733"
NetTangibleAssets,"136,247,000","288,299,000","411,117,000","234,074,000","42,723,000","121,258,000","122,344,478","66,312,884","110,366,766","73,479,040","-26,979,494","-29,191,801"
WorkingCapital,"99,151,000","236,075,000","340,614,000","128,787,000","157,925,000","97,383,000","37,264,616","57,758,148","89,469,211","66,585,466","-29,638,484","-37,678,606"
InvestedCapital,"859,268,000","1,357,882,000","1,559,286,000","1,405,550,000","282,063,000","157,733,000","161,860,181","102,503,400","118,975,532","80,341,414","19,914,797","20,313,311"
TangibleBookValue,"136,247,000","288,299,000","411,117,000","234,074,000","42,723,000","121,258,000","122,344,478","66,312,884","110,366,766","73,479,040","-26,979,494","-29,191,801"
TotalDebt,"25,584,000","707,000","652,000","749,000","204,461,000","499,000","318,113","1,286,413","259,363","4,065,534","44,962,964","47,626,564"
NetDebt,,,,,"151,020,000",,,,,,"35,528,706","42,079,192"
ShareIssued,"103,254,814","102,942,050","101,981,632","91,677,733","42,222,237","41,986,966","41,678,341","37,602,158","37,159,605","35,099,639","34,134,002","34,134,002"
OrdinarySharesNumber,"103,254,814","102,942,050","101,981,632","91,677,733","42,222,237","41,986,966","41,678,341","37,602,158","37,159,605","35,099,639","34,134,002","34,134,002"
