Unnamed: 0,period.fiscal-year,period.start,period.end,revenue,net_income,operating_income,asset,current_asset,inventory,current_liability,debt,equity,entity.name,entity.cik,eps,location,ROA1,ROE1,ROC1,OperatingMargin,NetMargin,CurrentRatio,QuickRatio,DERatio
10,2011,30/5/10,28/5/11,941981000,60839000,83483000,640843000,355041000,110021000,107482000,88161000,418906000,CAL MAINE FOODS INC,16160,2.55,MS,0.09493588913353193,0.1452330594453171,0.232506245679519,0.08862492980219346,0.06458622838464895,3.3032600807577084,2.2796375207011406,0.21045532888046484
11,2010,31/5/09,29/5/10,910143000,67823000,102604000,631284000,338160000,93968000,117974000,134673000,376956000,CAL MAINE FOODS INC,16160,2.85,MS,0.10743658955398838,0.17992285571790873,0.3207684655400739,0.11273393301931675,0.07451905909291177,2.866394290267347,2.0698798040246156,0.357264508324579
12,2009,1/6/08,30/5/09,928812000,79500000,121474000,582845000,241685000,97535000,103686000,129789000,333009000,"CAL-MAINE FOODS, INC.",16160,3.34,MS,0.13639990048812292,0.23873228651477887,0.35908174557558187,0.13078427065972448,0.08559320939005956,2.3309318519375806,1.3902551935651872,0.389746223075052
13,2008,3/6/07,31/5/08,915939000,151861000,223637000,501236000,224265000,76766000,102715000,97150000,275680000,"CAL-MAINE FOODS, INC.",16160,6.41,MS,0.30297305061887014,0.550859692396982,0.49679392541637074,0.24416145616684082,0.1657981590477095,2.183371464732512,1.4360025312758604,0.3524013348810215
14,2007,4/6/06,2/6/07,598128000,36656000,58230000,364568000,156310000,62208000,75758000,112852000,155739000,"CAL-MAINE FOODS, INC.",16160,1.56,MS,0.10054640012288517,0.23536814799119038,0.41009633319435607,0.09735374368028248,0.06128454110157023,2.0632804456295046,1.2421394440191136,0.7246226057699099
15,2006,29/5/05,3/6/06,477555000,-1013000,4515000,317118000,125678000,57843000,64878000,103912000,119775000,"CAL-MAINE FOODS, INC.",16160,-0.04,MS,-0.003194394515606178,-0.008457524525151326,0.32448173865879576,0.009454408392750573,-0.002121221639392321,1.9371435617620765,1.0455778538179352,0.8675600083489877
16,2005,30/5/04,28/5/05,375266000,-10358000,-12325000,269534000,125956000,45628000,52369000,82994000,121855000,CAL-MAINE FOODS INC,16160,-0.43,MS,-0.038429289069282536,-0.08500266710434533,0.2694873374045575,-0.03284336976971002,-0.027601754488815935,2.4051633600030553,1.53388455002005,0.681088178572894
17,2004,1/6/03,29/5/04,572331000,66442000,106322000,301559000,151939000,49896000,58990000,90031000,140165000,CAL-MAINE FOODS INC,16160,2.78,MS,0.2203283602877049,0.47402703956051795,0.5188802191279318,0.1857701225339882,0.11609016460754354,2.575673843024241,1.7298355653500592,0.6423215496022545
18,2003,2/6/02,31/5/03,387462000,12212000,26264000,235392000,85179000,51005000,57430000,108244000,66085000,CAL-MAINE FOODS INC,16160,1.04,MS,0.05187941816204459,0.184792312930317,0.5117251223491027,0.06778471179109177,0.03151792950018324,1.4831795228974403,0.5950548493818562,1.637951123553
19,2002,3/6/01,1/6/02,326171000,-10574000,-7928000,229654000,75308000,46108000,57998000,118362000,54460000,CAL-MAINE FOODS INC,16160,-0.9,MS,-0.046043177998205995,-0.19416085200146896,0.46934954322589634,-0.02430626879765522,-0.03241857798516729,1.2984585675368117,0.5034656367460947,2.1733749540947485
