name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
PretaxIncome,"-63,000,000","-276,000,000","680,000,000","396,000,000","590,000,000","940,000,000","916,000,000","845,000,000","683,000,000","628,000,000","650,000,000","563,000,000","493,000,000","-887,000,000","655,000,000","542,000,000","626,000,000","587,000,000","500,000,000","510,000,000","343,000,000"
TaxProvision,"27,000,000","-23,000,000","191,000,000","130,000,000","-229,000,000","328,000,000","304,000,000","316,000,000","250,000,000","229,000,000","233,000,000","184,000,000","200,000,000","187,000,000","252,000,000","190,000,000","195,000,000","234,000,000","186,000,000","189,000,000",
NetIncomeCommonStockholders,"-92,000,000","-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
	NetIncome,"-92,000,000","-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
		NetIncomeIncludingNoncontrollingInterests,"-92,000,000","-255,000,000","507,000,000","672,000,000","872,000,000","612,000,000","612,000,000","529,000,000","433,000,000","399,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","321,000,000","302,000,000"
			NetIncomeContinuousOperations,"-90,000,000","-253,000,000","489,000,000","266,000,000","819,000,000","612,000,000","612,000,000","529,000,000","433,000,000","399,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
			NetIncomeDiscontinuousOperations,,"-2,000,000","18,000,000","406,000,000","53,000,000",,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,"0",,"-65,000,000",,"0","0","0",
		MinorityInterests,,,"0","0","-1,000,000","-1,000,000","0","0","-1,000,000","1,000,000",,,,,,,,,,"-13,000,000","0"
DilutedNIAvailtoComStockholders,"-92,000,000","-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","287,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
BasicEPS,,"-2.97","5.5","6.8","8.46","5.56","5.18","4.22","3.25","2.8","2.57","2.13","1.64","-6.05","2.22","1.45","1.64","1.74","1.49","1.54","1.495"
DilutedEPS,,"-2.97","5.48","6.77","8.4","5.53","5.14","4.18","3.21","2.75","2.51","2.05","1.61","-6.05","2.2","1.44","1.61","1.74","1.49","1.54","1.495"
BasicAverageShares,,"86,100,000","92,100,000","98,900,000","103,000,000","110,000,000","118,000,000","125,000,000","133,000,000","143,000,000","162,000,000","178,000,000","179,000,000","178,000,000","181,531,532","197,931,034","208,000,000","200,574,713","200,671,141","200,000,000","201,960,784"
DilutedAverageShares,,"86,100,000","92,400,000","99,200,000","104,000,000","111,000,000","119,000,000","127,000,000","135,000,000","145,000,000","166,000,000","185,000,000","182,000,000","178,000,000","183,181,818","199,305,556","212,000,000","200,574,713","200,671,141","200,000,000","201,960,784"
TotalOperatingIncomeAsReported,"123,000,000","-105,000,000","812,000,000","523,000,000","712,000,000","1,057,000,000","1,015,000,000","941,000,000","910,000,000","852,000,000","767,000,000","718,000,000","594,000,000","-830,000,000","710,000,000","577,000,000","620,000,000","600,000,000","495,000,000","488,000,000","320,000,000"
TotalExpenses,"1,963,000,000","2,086,000,000","3,218,000,000","3,173,000,000","4,052,000,000","4,527,000,000","4,508,000,000","4,294,000,000","4,081,000,000","3,667,000,000","3,424,000,000","3,120,000,000","3,094,000,000","3,606,000,000","3,634,000,000","3,265,000,000","2,715,000,000",,,,
NetIncomeFromContinuingAndDiscontinuedOperation,"-92,000,000","-255,000,000","507,000,000","672,000,000","871,000,000","611,000,000","612,000,000","529,000,000","432,000,000","400,000,000","417,000,000","379,000,000","293,000,000","-1,074,000,000","403,000,000","352,000,000","431,000,000","349,000,000","299,000,000","308,000,000","302,000,000"
NormalizedIncome,"-3,600,000","-88,857,000","498,347,000","423,920,000","1,005,200,000","627,926,000","620,684,000","557,796,000","513,786,000","478,105,000","450,360,000","383,039,076.377","329,400,000","-102,900,000","408,537,404.58","416,295,202.952","337,364,217.252","349,000,000","299,000,000","308,000,000","302,000,000"
InterestIncome,"6,000,000","7,000,000","7,000,000","5,000,000","7,000,000","8,000,000","9,000,000","10,000,000","9,000,000","8,000,000","24,000,000","5,000,000","7,000,000","12,000,000",,"32,000,000","6,000,000",,,,
InterestExpense,"204,000,000","192,000,000","162,000,000","170,000,000","156,000,000","136,000,000","125,000,000","113,000,000","131,000,000","132,000,000","152,000,000","167,000,000","114,000,000","80,000,000",,"67,000,000",,,"6,000,000",,
NetInterestIncome,"-198,000,000","-185,000,000","-155,000,000","-165,000,000","-149,000,000","-128,000,000","-116,000,000","-103,000,000","-122,000,000","-124,000,000","-128,000,000","-162,000,000","-107,000,000","-68,000,000",,"-35,000,000","6,000,000",,,,
