name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
			CurrentAccruedExpenses,"979,000,000","1,050,000,000","808,000,000","1,264,819,000","1,090,826,000","1,469,725,000","753,625,000","536,895,000","590,505,000","333,237,000","322,827,000","325,184,000","251,238,000","288,712,000",,,,,,
		CurrentDebtAndCapitalLeaseObligation,,"749,000,000",,"500,000,000",,,,,,,,,,,,"230,755,000",,,,
			CurrentDebt,,"749,000,000",,"500,000,000",,,,,,,,,,,,"230,755,000",,,,
				OtherCurrentBorrowings,,"749,000,000",,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"3,279,000,000","6,000,000,000","4,691,000,000","3,545,001,000","2,900,308,000","2,572,846,000","1,823,464,000","1,390,065,000","1,154,706,000","848,863,000","684,098,000","696,509,000","539,337,000","11,957,000","10,317,000","10,246,000",,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,"3,178,000",,,,
			CurrentDeferredRevenue,"3,279,000,000","6,000,000,000","4,691,000,000","3,545,001,000","2,900,308,000","2,572,846,000","1,823,464,000","1,390,065,000","1,154,706,000","848,863,000","684,098,000","17,204,000","15,774,000","11,957,000","10,317,000","7,068,000",,,,
		OtherCurrentLiabilities,,,,,,,,,,"419,800,000",,,,"621,406,000","669,071,000","554,403,000","453,353,000","384,125,000",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"9,258,000,000","5,166,000,000","4,322,000,000","4,508,370,000","3,957,245,000","4,648,028,000","2,940,194,000","2,186,115,000","1,713,496,000","1,646,734,000","2,024,871,000","1,352,373,000","1,946,750,000","1,641,054,000","903,013,000","513,130,000","383,944,000","375,645,000",,
		LongTermDebtAndCapitalLeaseObligation,"8,729,000,000","4,721,000,000","3,717,000,000","3,749,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000",,,,,
			LongTermDebt,"8,216,000,000","4,189,000,000","3,717,000,000","3,749,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000",,,,,
			LongTermCapitalLeaseObligation,"513,000,000","532,000,000",,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"67,000,000","56,000,000","69,000,000","328,602,000","484,970,000","473,841,000","452,958,000","433,532,000","323,766,000","279,962,000","248,461,000","223,959,000","189,541,000","351,168,000","369,297,000","368,880,000","333,696,000","372,324,000",,
