name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		PrepaidAssets,"80,322,000","59,050,000","62,604,000","66,105,000","92,260,000","173,917,000","183,466,000","187,139,000","43,962,000","57,254,000","35,502,000","26,938,000","21,207,000","20,721,000","20,491,000","10,064,000","12,454,000","11,809,000","6,595,000","5,314,000",,,,,,,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,"8,668,000","9,366,000",,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,"123,175,000","100,715,000","69,941,000","66,334,000","47,467,000","22,417,000","20,886,000","13,896,000","12,215,000","18,986,000","16,673,000","28,429,000","26,633,000","30,300,000","73,000,000","73,800,000","134,000,000","66,600,000","18,500,000","32,300,000","18,300,000","24,100,000","7,000,000","9,800,000","7,300,000","1,900,000","1,100,000","1,400,000"
	TotalNonCurrentAssets,"3,661,653,000","7,862,391,000","8,605,867,000","9,755,684,000","10,247,503,000","11,651,366,000","12,358,260,000","14,827,022,000","13,302,449,000","12,435,547,000","10,390,593,000","6,913,706,000","5,861,990,000","5,015,815,000","4,015,934,000","3,823,912,000","2,882,690,000","2,767,674,000","2,600,071,000","2,256,691,000","2,216,399,000","2,141,700,000","1,740,400,000","1,240,800,000","978,900,000","553,400,000","499,700,000","383,000,000","230,600,000","259,300,000","189,300,000","133,700,000","150,800,000","93,600,000","103,200,000","179,900,000"
		NetPPE,"3,577,069,000","7,733,924,000","8,480,718,000","9,489,240,000","10,061,948,000","11,483,623,000","12,112,509,000","14,558,090,000","13,025,972,000","11,897,467,000","10,048,087,000","6,634,452,000","5,642,549,000","4,795,916,000","3,858,393,000","2,999,019,000","2,743,620,000","2,625,866,000","2,471,043,000","2,149,217,000","2,095,129,000","2,049,800,000","1,649,100,000","1,200,900,000","957,000,000","543,000,000","493,300,000","370,200,000","221,900,000","237,300,000","177,700,000","130,700,000","148,900,000","93,400,000","103,200,000","179,800,000"
			GrossPPE,"4,777,697,000","10,306,625,000","10,956,412,000","12,034,331,000","12,364,888,000","14,056,323,000","14,442,922,000","19,198,767,000","16,971,666,000","15,037,112,000","12,643,866,000","8,810,227,000","7,528,780,000","6,434,951,000","5,287,347,000","4,244,795,000","3,804,888,000","3,518,754,000","3,216,805,000","2,770,538,000","2,598,451,000","2,445,500,000","1,968,100,000","1,457,500,000","1,204,000,000","895,500,000","824,900,000","631,800,000","468,900,000","471,000,000","400,700,000","335,500,000","346,100,000","293,700,000","310,400,000","370,800,000"
				Properties,,"10,014,314,000","10,546,376,000","11,746,629,000","12,048,571,000","13,074,804,000","13,254,240,000","17,130,986,000","16,777,013,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"4,476,960,000","10,014,314,000","10,546,376,000","11,746,629,000","12,048,571,000","13,074,804,000","13,254,240,000","17,130,986,000",,"14,839,627,000","12,471,283,000","8,666,750,000","7,423,440,000","6,354,782,000","5,215,477,000","4,178,097,000","3,739,338,000","3,454,163,000","3,153,509,000","2,739,574,000",,,,,,,,,,,,,,,,
				OtherProperties,"200,925,000","203,407,000","200,945,000","204,193,000","204,214,000","220,172,000","218,697,000","213,347,000","194,653,000","197,485,000","172,583,000","143,477,000","105,340,000","80,169,000","71,870,000","66,698,000","65,550,000","64,591,000","63,296,000","30,964,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,"99,812,000","88,904,000","209,091,000","83,509,000","112,103,000","761,347,000","969,985,000","1,854,434,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,200,628,000","-2,572,701,000","-2,475,694,000","-2,545,091,000","-2,302,940,000","-2,572,700,000","-2,330,413,000","-4,640,677,000","-3,945,694,000","-3,139,645,000","-2,595,779,000","-2,175,775,000","-1,886,231,000","-1,639,035,000","-1,428,954,000","-1,245,776,000","-1,061,268,000","-892,888,000","-745,762,000","-621,321,000","-503,322,000","-395,700,000","-319,000,000","-256,600,000","-247,000,000","-352,500,000","-331,600,000","-261,600,000","-247,000,000","-233,700,000","-223,000,000","-204,800,000","-197,200,000","-200,300,000","-207,200,000","-191,000,000"
		OtherNonCurrentAssets,"84,584,000","128,467,000","125,149,000","266,444,000","185,555,000","167,743,000","245,751,000","268,932,000","276,477,000","538,080,000","342,506,000","279,254,000","219,441,000","219,899,000","157,541,000","824,893,000","139,070,000","141,808,000","129,028,000","107,474,000","121,270,000","91,900,000","91,300,000","39,900,000","21,900,000","10,400,000","6,400,000","12,800,000","8,700,000","22,000,000","11,600,000","3,000,000","1,900,000","200,000",,"100,000"
TotalLiabilitiesNetMinorityInterest,"4,575,325,000","4,625,526,000","4,610,349,000","4,844,031,000","4,972,672,000","5,469,754,000","5,999,788,000","7,167,929,000","6,119,484,000","5,397,307,000","3,933,687,000","1,608,464,000","1,816,084,000","1,573,280,000","1,364,269,000","1,622,539,000","932,070,000","1,017,488,000","1,082,208,000","977,355,000","1,022,549,000","1,037,200,000","868,100,000","356,700,000","441,600,000","217,700,000","211,700,000","170,500,000","98,000,000","146,400,000","101,700,000","57,900,000","53,600,000","16,400,000","44,700,000","86,800,000"
	CurrentLiabilities,"218,351,000","516,928,000","365,457,000","593,024,000","633,293,000","863,657,000","668,674,000","1,051,915,000","911,449,000","827,180,000","720,381,000","433,947,000","678,993,000","492,772,000","426,260,000","259,335,000","214,166,000","244,023,000","280,660,000","207,549,000","205,428,000","233,300,000","349,500,000","152,900,000","151,500,000","86,400,000","82,300,000","42,300,000","55,100,000","71,400,000","39,500,000","24,300,000","16,700,000","5,200,000","4,800,000","10,800,000"
