name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
		AdditionalPaidInCapital,"13,501,000,000","13,424,000,000","13,394,000,000","11,031,000,000","10,993,000,000","5,739,000,000","5,797,000,000","6,784,000,000","7,521,000,000","7,211,000,000","7,504,000,000","7,407,000,000","6,492,000,000","10,799,000,000","8,044,000,000","10,565,300,000","10,695,800,000","10,643,800,000","10,623,100,000","10,611,700,000","3,918,717,000",,,,"1,501,159,000",,"304,800,000",,
		RetainedEarnings,"-1,866,000,000","-1,297,000,000","-67,000,000","1,929,000,000","5,056,000,000","4,140,000,000","3,349,000,000","5,262,000,000","3,855,000,000","4,244,000,000","9,969,000,000","9,008,000,000","6,008,000,000","1,806,000,000","-1,181,000,000","-2,566,400,000","-3,282,000,000","-3,434,200,000","-3,453,400,000","297,700,000","83,283,000","3,908,038,000","586,700,000","1,578,300,000","126,035,000","1,387,100,000","16,100,000","10,100,000","59,400,000"
		TreasuryStock,,,,,"0","240,000,000","240,000,000","240,000,000","240,000,000","240,000,000","240,000,000",,,,,,,,,,,,,"64,900,000",,"31,500,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-263,000,000","-324,000,000","-279,000,000","-290,000,000","-283,000,000","-334,000,000","-404,000,000","-262,000,000","-521,000,000","-496,000,000","-332,000,000","-335,000,000","-420,000,000","-42,000,000","-30,000,000","-20,400,000","-24,400,000","-20,200,000","-31,500,000","-2,300,000",,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,"1,391,900,000",,,"100,000","-100,000","304,200,000","49,100,000"
	MinorityInterest,"3,000,000","5,000,000","7,000,000","4,000,000","3,000,000","310,000,000","311,000,000","-6,000,000","-15,000,000","106,000,000","17,000,000","7,000,000","3,000,000","5,000,000","4,000,000","3,600,000","4,000,000",,,,,,,,,,,,
TotalCapitalization,"18,734,000,000","20,555,000,000","22,233,000,000","19,342,000,000","23,001,000,000","21,327,000,000","22,136,000,000","26,453,000,000","26,200,000,000","27,198,000,000","30,592,000,000","30,401,000,000","30,046,000,000","23,651,000,000","10,036,000,000","9,178,800,000","9,854,700,000","10,804,900,000","10,771,300,000","15,449,700,000","5,434,373,000","5,097,717,000","2,792,600,000","2,678,100,000","2,020,031,000","2,253,000,000","351,100,000","314,300,000","287,000,000"
CommonStockEquity,"11,432,000,000","11,862,000,000","13,107,000,000","12,707,000,000","15,802,000,000","14,498,000,000","13,671,000,000","16,691,000,000","15,745,000,000","15,701,000,000","21,383,000,000","20,552,000,000","16,524,000,000","12,566,000,000","6,836,000,000","7,981,700,000","7,392,600,000","7,192,600,000","7,141,400,000","10,910,300,000","4,004,107,000","3,910,139,000","1,978,600,000","1,635,400,000","1,627,709,000","1,482,700,000","321,100,000","314,300,000","108,500,000"
CapitalLeaseObligations,"566,000,000","608,000,000","511,000,000","541,000,000","566,000,000","591,000,000","615,000,000","637,000,000","657,000,000",,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"11,039,000,000","11,254,000,000","12,312,000,000","12,707,000,000","15,802,000,000","14,498,000,000","13,671,000,000","13,704,000,000","12,758,000,000","12,496,000,000","13,251,000,000","12,418,000,000","8,396,000,000","4,347,000,000","4,641,000,000","5,772,800,000","5,140,700,000","4,961,800,000","4,923,200,000","4,443,600,000","2,966,252,000","2,842,545,000","1,303,400,000","1,635,400,000","864,536,000","1,482,700,000","321,100,000","314,300,000","108,500,000"
WorkingCapital,"1,354,000,000","1,916,000,000","2,490,000,000","3,237,000,000","3,113,000,000","2,116,000,000","2,231,000,000","3,218,000,000","3,184,000,000","2,251,000,000","2,359,000,000","858,000,000","2,648,000,000","-3,606,000,000","617,000,000","355,500,000","678,800,000","667,800,000","407,800,000","592,400,000","-47,066,000","30,345,000","169,200,000","-312,400,000","20,768,000","-145,700,000","79,200,000","78,300,000","30,300,000"
InvestedCapital,"19,239,000,000","21,123,000,000","22,574,000,000","19,562,000,000","23,700,000,000","22,397,000,000","23,148,000,000","26,756,000,000","27,547,000,000","29,237,000,000","32,604,000,000","32,269,000,000","30,710,000,000","29,823,000,000","10,131,000,000","9,578,800,000","9,874,100,000","10,850,700,000","11,819,400,000","15,934,100,000","5,457,493,000","5,176,301,000","2,811,300,000","3,135,800,000","2,048,044,000","2,490,700,000","351,100,000","314,300,000","287,000,000"
TangibleBookValue,"11,039,000,000","11,254,000,000","12,312,000,000","12,707,000,000","15,802,000,000","14,498,000,000","13,671,000,000","13,704,000,000","12,758,000,000","12,496,000,000","13,251,000,000","12,418,000,000","8,396,000,000","4,347,000,000","4,641,000,000","5,772,800,000","5,140,700,000","4,961,800,000","4,923,200,000","4,443,600,000","2,966,252,000","2,842,545,000","1,303,400,000","1,635,400,000","864,536,000","1,482,700,000","321,100,000","314,300,000","108,500,000"
TotalDebt,"8,373,000,000","9,869,000,000","9,978,000,000","7,396,000,000","8,464,000,000","8,490,000,000","10,092,000,000","10,702,000,000","12,459,000,000","13,536,000,000","11,221,000,000","11,717,000,000","14,186,000,000","17,257,000,000","3,295,000,000","1,597,100,000","2,481,500,000","3,658,100,000","4,678,000,000","5,023,800,000","1,453,386,000","1,266,162,000","832,700,000","1,500,400,000","420,335,000","1,008,000,000","30,000,000",,"178,500,000"
NetDebt,"6,653,000,000","7,471,000,000","7,307,000,000","4,336,000,000","4,846,000,000","5,560,000,000","6,842,000,000","6,822,000,000","6,668,000,000","9,519,000,000","7,827,000,000","10,587,000,000","13,223,000,000","16,016,000,000","2,828,000,000","1,151,700,000","2,030,200,000","3,184,100,000","3,463,800,000","4,170,400,000","1,418,847,000","1,100,489,000","763,200,000","1,486,900,000","396,181,000","970,700,000",,,"161,100,000"
ShareIssued,"639,676,165","617,970,525","610,581,677","394,801,990","394,801,990","366,898,664","365,142,797","363,627,367","362,368,518","352,669,060","321,943,945","335,235,298","319,660,304","317,222,909","292,454,457","324,750,166","321,533,998","319,926,500","319,219,072","318,816,035","210,710,000","210,119,501","100,551,000","56,830,000","56,830,000","56,830,000","56,722,000","56,588,000","42,348,000"
OrdinarySharesNumber,"615,140,276","611,871,374","609,649,291","391,237,308","389,366,241","364,035,397","362,279,530","360,764,100","359,505,251","349,805,793","319,080,678","321,223,882","319,660,304","317,222,909","292,454,457","324,750,166","321,533,998","319,926,500","319,219,072","318,816,035","210,710,000","210,119,501","100,551,000","56,830,000","56,830,000","56,830,000","56,722,000","56,588,000","42,348,000"
TreasurySharesNumber,"24,535,889","6,099,151","932,386","3,564,682","5,435,749","2,863,267","2,863,267","2,863,267","2,863,267","2,863,267","2,863,267","14,011,416",,,,,,,,,,,,,,,,,
