name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
	CurrentLiabilities,"22,432,000","48,563,000","46,118,000","19,129,000","18,293,000","18,790,000","29,371,000","13,534,000","12,539,000"
		PayablesAndAccruedExpenses,"13,712,000","40,888,000","44,157,000","17,834,000","16,713,000","14,199,000","28,090,000","12,701,000","11,938,000"
			Payables,"6,238,000","30,412,000","21,220,000","14,320,000","11,974,000","11,169,000","24,111,000","10,005,000","10,720,000"
				AccountsPayable,"4,072,000","22,674,000","16,312,000","11,627,000","10,031,000","8,584,000","21,993,000","9,061,000","10,121,000"
				TotalTaxPayable,"2,166,000","4,716,000","4,908,000","2,693,000","1,943,000","2,585,000","2,118,000","944,000","599,000"
					IncomeTaxPayable,,,,,,,"408,000","157,000","0"
				DuetoRelatedPartiesCurrent,"0","3,022,000",,,,,,,
				OtherPayable,,,,"0","0","0","0","0","0"
			CurrentAccruedExpenses,"7,474,000","10,476,000","22,937,000","3,514,000","4,739,000","3,030,000","3,979,000","2,696,000","1,218,000"
				InterestPayable,"3,573,000","3,244,000","3,318,000",,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"2,646,000","3,784,000","2,050,000",,"1,868,000","632,000"
		CurrentDebtAndCapitalLeaseObligation,"8,601,000","4,160,000","587,000","533,000","441,000",,,,
			CurrentDebt,"4,286,000","3,685,000","587,000","533,000","441,000",,,,
				OtherCurrentBorrowings,"4,286,000","3,685,000",,,,,,,
			CurrentCapitalLeaseObligation,"4,315,000","475,000",,,,,,,
		CurrentDeferredLiabilities,"119,000","701,000","1,374,000","762,000","1,139,000","4,591,000","1,281,000","833,000","601,000"
			CurrentDeferredTaxesLiabilities,,,,,,,"0","149,000","0"
			CurrentDeferredRevenue,"119,000","701,000","1,374,000","762,000","1,139,000","4,591,000","1,281,000","684,000","601,000"
		OtherCurrentLiabilities,,"2,814,000",,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"143,744,000","136,842,000","147,211,000","50,034,000","26,562,000","63,262,000","23,440,000","26,562,000","10,197,000"
		LongTermDebtAndCapitalLeaseObligation,"137,633,000","134,941,000","130,012,000","49,278,000","26,078,000","62,708,000","22,519,000","19,780,000","0"
			LongTermDebt,"133,063,000","134,941,000","130,012,000","49,278,000","26,078,000","62,708,000","22,519,000","19,780,000",
			LongTermCapitalLeaseObligation,"4,570,000",,,,,,,,
		NonCurrentDeferredLiabilities,"505,000","652,000","774,000","683,000","396,000","193,000","323,000","3,593,000","5,973,000"
			NonCurrentDeferredTaxesLiabilities,"505,000","652,000","774,000","683,000","396,000","193,000","323,000","3,593,000","5,973,000"
		TradeandOtherPayablesNonCurrent,"0",,,,,,,,
		DuetoRelatedPartiesNonCurrent,"2,902,000",,,,,,,,
		DerivativeProductLiabilities,,,,,,,"0","3,189,000","4,224,000"
		OtherNonCurrentLiabilities,"2,704,000","1,249,000","16,425,000","73,000","88,000","361,000","598,000","0","0"
TotalEquityGrossMinorityInterest,"247,033,000","331,596,000","391,533,000","235,482,000","257,252,000","232,737,000","236,736,000","144,872,000","144,700,000"
	StockholdersEquity,"247,033,000","331,596,000","391,533,000","235,482,000","257,252,000","232,737,000","236,736,000","144,872,000","144,700,000"
		CapitalStock,"62,000","762,000","771,000","380,000","376,000","244,000","246,000","124,000","123,000"
			CommonStock,"62,000","762,000","771,000","380,000","376,000","244,000","246,000","124,000","123,000"
			OtherCapitalStock,,,,"0","0","0","0","0","0"
		AdditionalPaidInCapital,"517,948,000","505,107,000","503,446,000","326,616,000","323,918,000","276,948,000","272,750,000","152,615,000","150,447,000"
		RetainedEarnings,"-267,064,000","-170,426,000","-109,638,000","-89,645,000","-65,347,000","-43,169,000","-35,289,000","-7,121,000","-5,124,000"
		TreasuryStock,"3,913,000","3,847,000","3,046,000","1,869,000","1,695,000","1,286,000","971,000","746,000","746,000"
TotalCapitalization,"380,096,000","466,537,000","521,545,000","284,760,000","283,330,000","295,445,000","259,255,000","164,652,000","144,700,000"
CommonStockEquity,"247,033,000","331,596,000","391,533,000","235,482,000","257,252,000","232,737,000","236,736,000","144,872,000","144,700,000"
CapitalLeaseObligations,"8,885,000","475,000",,,,,,,
NetTangibleAssets,"247,033,000","331,596,000","389,906,000","235,482,000","257,252,000","232,737,000","236,736,000","111,508,000","108,598,000"
WorkingCapital,"5,010,000","8,182,000","39,450,000","11,764,000","9,599,000","10,547,000","6,929,000","7,623,000","35,319,000"
InvestedCapital,"384,382,000","470,222,000","522,132,000","285,293,000","283,771,000","295,445,000","259,255,000","164,652,000","144,700,000"
TangibleBookValue,"247,033,000","331,596,000","389,906,000","235,482,000","257,252,000","232,737,000","236,736,000","111,508,000","108,598,000"
TotalDebt,"146,234,000","139,101,000","130,599,000","49,811,000","26,519,000","62,708,000","22,519,000","19,780,000","0"
NetDebt,"125,070,000","133,420,000","118,352,000","47,278,000","19,448,000","57,364,000","11,762,000","17,050,000",
ShareIssued,"6,254,396","3,876,196","3,879,939","1,912,345","1,891,586","1,226,995","1,235,716",,
OrdinarySharesNumber,"6,175,818","3,812,050","3,853,912","1,899,261","1,880,896","1,220,182","1,231,466",,
TreasurySharesNumber,"78,578","64,146","26,027","13,084","10,690","6,813","4,250",,
