Date,High,Low,Open,Close,Volume,Adj Close
2020-04-16,93,92,93,93,1800,93
2020-04-17,93,93,93,93,0,93
2020-04-20,87,84,87,87,26600,87
2020-04-21,80,80,80,80,12800,80
2020-04-22,80,72,80,79,40600,79
2020-04-23,78,72,78,78,21900,78
2020-04-24,84,73,84,82,57000,82
2020-04-27,82,82,82,82,1200,82
2020-04-28,90,89,90,90,800,90
2020-04-29,90,90,90,90,0,90
2020-04-30,94,84,94,84,200,84
2020-05-04,92,77,84,77,8700,77
2020-05-05,84,78,84,78,71100,78
2020-05-06,85,80,85,81,20400,81
2020-05-08,88,78,81,85,3000,85
2020-05-11,91,82,91,89,800,89
2020-05-12,89,89,89,89,8200,89
2020-05-13,89,81,81,89,86800,89
2020-05-14,94,89,89,93,1300,93
2020-05-15,94,84,93,93,2000,93
2020-05-18,91,91,91,91,500,91
2020-05-19,93,93,93,93,200,93
2020-05-20,93,91,93,92,3700,92
2020-05-26,93,93,93,93,9000,93
2020-05-27,91,84,86,91,6500,91
2020-05-28,91,85,85,89,12300,89
2020-05-29,96,85,96,89,2600,89
2020-06-02,91,84,90,91,45900,91
2020-06-03,91,82,90,91,300,91
2020-06-04,91,85,85,91,700,91
2020-06-05,91,84,85,91,7800,91
2020-06-08,90,89,90,89,1300,89
2020-06-09,92,88,89,88,2400,88
2020-06-10,88,85,88,87,8500,87
2020-06-11,90,89,90,89,1200,89
2020-06-12,94,89,89,94,1700,94
2020-06-15,95,85,95,93,5500,93
2020-06-16,84,84,84,84,3100,84
2020-06-17,92,84,92,84,4000,84
2020-06-18,92,84,92,90,1100,90
2020-06-19,98,81,98,82,10400,82
2020-06-22,90,75,90,75,233900,75
2020-06-23,79,75,75,77,31700,77
2020-06-24,84,78,84,78,12600,78
2020-06-25,80,77,80,78,6300,78
2020-06-26,80,78,80,78,700,78
2020-06-29,85,72,85,79,27300,79
2020-06-30,86,73,86,78,34600,78
2020-07-01,85,73,85,78,5500,78
2020-07-02,79,72,79,77,36400,77
2020-07-03,84,72,84,77,5300,77
2020-07-06,84,72,84,72,21200,72
2020-07-07,79,74,79,74,20000,74
2020-07-08,81,72,81,75,37400,75
2020-07-09,82,77,82,77,28500,77
2020-07-10,79,72,79,76,15000,76
2020-07-13,83,72,83,78,103400,78
2020-07-14,79,73,79,74,23300,74
2020-07-15,81,74,81,74,18600,74
2020-07-16,79,72,79,79,700,79
2020-07-17,78,78,78,78,1900,78
2020-07-20,85,75,85,79,2300,79
2020-07-21,86,78,86,78,200,78
2020-07-22,84,72,84,75,561900,75
2020-07-23,79,70,79,75,8500,75
2020-07-24,82,70,82,74,13900,74
2020-07-27,81,75,81,76,12000,76
2020-07-28,79,79,79,79,100,79
2020-07-29,86,72,86,72,34500,72
2020-07-30,76,66,72,66,19300,66
2020-08-03,72,60,72,66,135700,66
2020-08-04,72,60,72,60,47000,60
2020-08-05,64,54,64,61,62900,61
2020-08-06,67,55,67,55,642500,55
2020-08-07,58,50,58,50,763400,50
2020-08-10,52,46,52,51,733700,51
2020-08-11,56,51,56,51,35200,51
2020-08-12,56,49,56,51,16900,51
2020-08-13,56,50,56,50,4700,50
2020-08-14,55,50,55,50,21900,50
2020-08-18,55,46,55,49,68300,49
2020-08-19,53,45,53,49,165900,49
2020-08-24,53,47,53,49,13400,49
2020-08-25,52,45,52,48,91400,48
2020-08-26,52,45,52,48,7500,48
2020-08-27,52,47,52,48,33100,48
2020-08-28,48,44,48,48,23500,48
2020-08-31,52,44,52,47,172600,47
2020-09-01,51,45,51,45,26900,45
2020-09-02,47,44,47,46,42600,46
2020-09-03,50,46,50,47,254900,47
2020-09-04,47,43,47,45,22200,45
2020-09-07,49,45,49,48,189300,48
2020-09-08,50,45,50,45,34700,45
2020-09-09,49,45,49,47,9800,47
2020-09-10,51,44,51,46,20900,46
2020-09-11,49,44,49,46,61200,46
