name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988
"	GainOnSaleOfSecurity","232,000,000","-42,000,000","10,000,000","-21,000,000","24,000,000","98,000,000","125,000,000","110,000,000","151,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"	EarningsFromEquityInterest","73,000,000","66,000,000",,"7,000,000","95,000,000","121,000,000","102,000,000","195,000,000","278,000,000","261,000,000",,,,"76,200,000",,,,,,,,,,,,,,,,,,,
"	SpecialIncomeCharges","-944,000,000","-242,000,000","-1,822,000,000","-84,000,000","-28,000,000",0,"-21,000,000","-3,000,000","-384,000,000","123,000,000",,,,"-20,900,000","98,400,000","49,300,000","-290,500,000","-599,000,000","25,000,000","40,200,000","7,900,000","-1,157,110,000","32,800,000","32,400,000","6,600,000","16,600,000","12,000,000",,"10,100,000","4,700,000","10,400,000","7,200,000","2,500,000"
"		RestructuringAndMergernAcquisition","60,000,000","98,000,000","13,000,000","84,000,000","18,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		ImpairmentOfCapitalAssets","824,000,000","120,000,000","1,809,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		WriteOff","6,000,000","144,000,000",,0,"10,000,000",0,"38,000,000",0,"341,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"		OtherSpecialCharges","48,000,000",,,,,,"-17,000,000","3,000,000","43,000,000",,,,,,,,,,,,,,,,,,,,,,,,
"		GainOnSaleOfBusiness","-6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"	OtherNonOperatingIncomeExpenses","-183,000,000","-56,000,000","-40,000,000","-3,000,000","-3,000,000","-26,000,000",,"-51,000,000","-37,000,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"382,000,000","1,308,000,000","-124,000,000","-29,000,000","366,000,000","1,721,000,000","2,164,000,000","2,472,000,000","2,905,000,000","4,147,000,000","2,449,000,000","1,071,300,000","4,572,300,000","1,513,800,000","789,900,000","810,300,000","430,300,000","-146,900,000","83,800,000","189,400,000","265,200,000","-404,525,000","378,500,000","366,200,000","252,700,000","182,400,000","94,700,000","51,100,000","47,400,000","35,600,000",,,"105,600,000"
