name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
NormalizedIncome,"-7,970,000","-7,638,600","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,195,160","3,371,650","13,285,050","6,468,700","-4,441,000","8,993,300","16,801,200","7,971,832.2","6,037,377","2,050,126","885,793.8","563,367.6","362,000","105,000","29,000"
InterestIncome,,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000","298,000","1,309,000","1,249,000","960,772","126,499","13,192","3,971","2,702",,,
NetInterestIncome,,,,,,,,"141,000","429,000","305,000","383,000","166,000","61,000","298,000","1,309,000","1,249,000","960,772","126,499","13,192","3,971","2,702",,,
EBIT,"-9,500,000","-11,153,000","9,464,000","8,238,000","4,545,000","11,068,000","7,146,000","21,050,000","2,278,000","25,489,000","15,022,000","23,512,000","13,708,000","3,111,000","20,624,000","29,753,000","14,870,055","11,033,000","3,738,833","1,476,248","1,215,022","750,000","954,000","84,000"
EBITDA,"-7,253,000"
ReconciledCostOfRevenue,"10,878,000","10,563,000","11,889,000","12,268,000","12,909,000","14,313,000","18,824,000","17,906,000","17,402,000","15,745,000","13,283,000","7,253,000","5,628,000","2,996,000","2,097,000","1,038,000","878,102","694,713","399,039","351,169","304,081",,,
ReconciledDepreciation,"2,247,000","2,314,000","1,318,000","1,828,000","2,075,000","2,530,000","2,788,000","2,824,000","2,980,000","2,539,000","2,725,000","2,389,000","1,992,000","667,000","193,000","131,000","166,957","161,329","163,284","194,373","138,628",,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-7,970,000","-10,033,000","4,155,000","4,661,000","1,592,000","6,631,000","10,864,000","16,352,000","-5,011,000","18,198,000","3,319,000","13,157,000","6,418,000","-4,116,000","9,109,000","16,803,000","7,963,017","6,037,377","2,050,126","853,071","363,735","362,000","105,000","29,000"
TotalUnusualItemsExcludingGoodwill,"0","-2,920,000",,,"173,000","0","0","7,583,000","-22,000,000","4,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
TotalUnusualItems,"0","-2,920,000",,,"173,000","0","0","7,583,000","-22,000,000","4,000","-81,000","-197,000","-78,000","500,000","178,000","3,000","-14,692",,,"-54,538","-332,721",,,
NormalizedEBITDA,"-7,253,000","-5,919,000","10,782,000","10,066,000","6,620,000","13,598,000","9,934,000","23,874,000","5,258,000","28,024,000","17,828,000","26,098,000","15,778,000","3,278,000","20,639,000","29,881,000","15,051,704","11,194,329","3,902,117","1,725,159","1,686,371","750,000","954,000","84,000"
TaxRateForCalcs,"0.128","0.18","0.27","0.27","0.4","0.39","0.4","0.23","0.35","0.29","0.35","0.35","0.35","0.35","0.35","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"0","-525,600","0","0","0","0","0","0","0","1,160","-28,350","-68,950","-27,300","175,000","62,300","1,200","-5,876.8","0","0","-21,815.2","-133,088.4","0","0","0"
