name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988
DilutedNIAvailtoComStockholders,"40,084,000","40,084,000","38,540,000","36,576,000","40,827,000","30,230,000","25,318,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,200,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000"
BasicEPS,,"2.37","2.27","2.17","2.44","1.82","1.48","1.32","-0.29","0.09","-0.07","0.52","-4.17","-0.71","1.08","0.87","0.25","0.61","0.325","0.385","0.16","0.27","0.065","-0.115","0.005","-0.175","0.17","0.81","0.83","0.69","0.57","0.425","0.695","0.575"
DilutedEPS,,"2.37","2.27","2.17","2.44","1.82","1.48","1.32","-0.29","0.09","-0.07","0.51","-4.17","-0.71","1.05","0.83","0.24","0.59","0.325","0.385","0.16","0.27","0.065","-0.115","0.005","-0.175","0.17","0.81","0.83","0.69","0.57","0.425","0.695","0.575"
BasicAverageShares,,"16,937,125","17,012,288","16,866,176","16,746,731","16,643,811","17,123,556","17,305,866","17,069,455","16,951,168","16,726,000","16,655,203","16,585,000","16,538,028","16,387,037","16,086,207","16,016,000","15,521,311","15,858,462","16,257,143","16,625,000","18,111,111","20,000,000","19,130,435","20,000,000","19,428,571","19,411,765","19,629,630","19,518,072","19,565,217","19,473,684","19,764,706","18,848,921","17,565,217"
DilutedAverageShares,,"16,937,125","17,012,288","16,866,176","16,746,731","16,643,811","17,123,556","17,305,866","17,069,455","16,951,168","16,726,000","17,082,123","16,585,000","16,774,286","16,855,238","16,861,446","16,683,333","16,047,458","16,113,580","16,297,143","16,625,000","20,000,000","20,000,000","20,000,000","22,500,000","19,428,571","19,629,630","19,629,630","19,518,072","19,565,217","19,473,684","19,764,706","18,848,921","17,565,217"
TotalOperatingIncomeAsReported,"54,241,000","54,241,000","47,242,000","50,148,000","42,909,000","41,975,000","32,850,000","16,619,000","-5,199,000","-944,000","645,000","7,255,000","-79,008,000","-29,650,000","27,160,000","22,370,000","6,630,000","15,288,000","-5,954,000","11,379,000","3,638,000","8,793,000","3,600,000","-2,600,000","1,800,000","-4,600,000","10,600,000","25,500,000","22,100,000","20,100,000","17,000,000","12,800,000","19,000,000","16,400,000"
TotalExpenses,"341,280,000","341,280,000","315,503,000","325,941,000","304,539,000","276,288,000","294,754,000","305,074,000","328,463,000","335,279,000","247,021,000","194,716,000","336,173,000","422,543,000","340,834,000","300,107,000","268,547,000","255,385,000","198,326,000","203,149,000","225,603,000","223,087,000","212,500,000","225,900,000","222,900,000","199,200,000","169,700,000","160,500,000","141,300,000","206,900,000","177,100,000","171,200,000","172,800,000","108,500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"40,345,000","40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-4,929,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","16,300,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000"
NormalizedIncome,"40,345,000","40,345,000","38,793,000","37,284,000","32,797,867","31,184,000","26,191,000","16,106,230","-5,807,000","-1,765,980","-1,156,350","8,318,750","-53,343,300.363","-10,386,750","15,833,976.017","13,259,472.057","2,960,359.066","2,105,344.409","-14,869,238.587","3,185,642.65","1,385,958.608","4,431,373.422","1,052,380.952","-2,620,000","-500,000","-4,310,714.286","5,820,000","15,775,781.25","13,962,445.415","12,739,436.62","10,781,034.483","8,015,267.176","12,077,560.976","9,591,823.899"
InterestExpense,"1,640,000","1,640,000","1,305,000","1,168,000","1,184,000","1,294,000","534,000","816,000","1,118,000","870,000","358,000","1,757,000","2,901,000","1,490,000","964,000","1,482,000","1,393,000","1,088,000",,"1,237,000","1,347,000",,,,"2,600,000","2,600,000","600,000","100,000","100,000","100,000","100,000","500,000",,"1,400,000"
NetInterestIncome,"-1,640,000","-1,640,000","-1,305,000","-1,168,000","-1,184,000","-1,294,000","-534,000","-816,000","-1,118,000","-870,000","-358,000","-1,757,000","-2,901,000","-1,490,000","-964,000","-1,482,000","-1,393,000","-1,088,000",,"-1,237,000","-1,347,000",,,,"-2,600,000","-2,600,000","-600,000","-100,000","-100,000","-100,000","-100,000","-500,000",,"-1,400,000"
EBIT,"54,241,000","54,241,000","47,242,000","50,148,000","53,942,000","46,011,000","38,952,000","26,756,000","-5,403,000","2,812,000","-887,000","5,727,000","-79,010,000","-29,650,000","27,160,000","22,370,000","6,630,000","15,288,000","-5,954,000","11,379,000","3,638,000","8,793,000","3,600,000","-2,600,000","1,800,000","-4,600,000","10,600,000","25,500,000","22,100,000","20,100,000","17,000,000","12,800,000","19,000,000","16,400,000"
EBITDA,"67,202,000"
ReconciledCostOfRevenue,"296,715,000","296,715,000","286,213,000","292,490,000","271,432,000","252,980,000","269,071,000","284,972,000","302,025,000","309,312,000","225,038,000","171,427,000","310,078,000","388,662,000","321,941,000","277,264,000","249,936,000","245,766,000","202,112,000","193,325,000","212,058,000","197,463,000","187,000,000","200,600,000","199,700,000","176,300,000","150,400,000","141,100,000","124,400,000","185,500,000","158,700,000","154,200,000","156,700,000","93,500,000"
ReconciledDepreciation,"12,961,000","12,961,000","11,572,000","11,362,000","11,308,000","11,253,000","12,382,000","12,325,000","12,009,000","11,568,000","8,843,000","8,631,000","11,946,000","15,172,000","14,467,000","12,655,000","16,008,000","15,197,000","14,354,000","14,308,000","13,627,000","13,515,000","13,600,000","13,900,000","14,000,000","13,900,000","8,700,000","7,200,000","6,200,000","7,200,000","6,500,000","6,700,000","6,100,000","5,400,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"40,345,000","40,345,000","38,793,000","37,284,000","41,823,000","31,184,000","26,191,000","23,675,000","-5,807,000","1,624,000","-1,313,000","8,738,000","-69,123,000","-11,742,000","17,698,000","13,995,000","4,004,000","9,468,000","5,154,000","6,259,000","2,660,000","4,890,000","1,300,000","-2,200,000","100,000","-3,400,000","3,300,000","15,900,000","14,600,000","13,500,000","11,100,000","8,400,000","13,100,000","10,100,000"
TotalUnusualItemsExcludingGoodwill,,,"0","0","11,381,000","0","0","8,290,000","0","4,055,000","-241,000","645,000","-18,699,000","-2,085,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000"
TotalUnusualItems,,,"0","0","11,381,000","0","0","8,290,000","0","4,055,000","-241,000","645,000","-18,699,000","-2,085,000","2,916,000","1,105,000","1,597,000","12,170,000","33,104,000","5,091,000","2,106,000","758,000","400,000","700,000","1,000,000","1,500,000","-4,200,000","200,000","1,000,000","1,200,000","500,000","600,000","1,600,000","800,000"
NormalizedEBITDA,"67,202,000","67,202,000","58,814,000","61,510,000","53,869,000","57,264,000","51,334,000","30,791,000","6,606,000","10,325,000","8,197,000","13,713,000","-48,365,000","-12,393,000","38,711,000","33,920,000","21,041,000","18,315,000","-24,704,000","20,596,000","15,159,000","21,550,000","16,800,000","10,600,000","14,800,000","7,800,000","23,500,000","32,500,000","27,300,000","26,100,000","23,000,000","18,900,000","23,500,000","21,000,000"
TaxRateForCalcs,"0.233","0.233","0.156","0.239","0.207","0.303","0.318","0.087","0.11","0.164","0.35","0.35","0.156","0.35","0.361","0.334","0.346","0.395","0.395","0.396","0.395","0.395","0.381","0.4","0.4","0.393","0.4","0.379","0.362","0.366","0.362","0.359","0.361","0.365"
TaxEffectOfUnusualItems,"0","0","0","0","2,355,867","0","0","721,230","0","665,020","-84,350","225,750","-2,919,300.363","-729,750","1,051,976.017","369,472.057","553,359.066","4,807,344.409","13,080,761.413","2,017,642.65","831,958.608","299,373.422","152,380.952","280,000","400,000","589,285.714","-1,680,000","75,781.25","362,445.415","439,436.62","181,034.483","215,267.176","577,560.976","291,823.899"
