name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
PretaxIncome,"729,800,000","729,800,000","655,000,000","743,700,000","180,800,000","339,300,000","-130,500,000","485,000,000","615,900,000","612,600,000","550,500,000","350,500,000","310,000,000","454,900,000","185,700,000","213,500,000","193,300,000","131,100,000","38,000,000","86,500,000","-472,900,000","222,600,000","274,300,000","249,500,000","-59,700,000","322,600,000","246,900,000","252,300,000","37,800,000","279,600,000","255,900,000","211,400,000","218,300,000","189,500,000","201,400,000","192,600,000"
TaxProvision,"150,900,000","150,900,000","111,500,000","88,800,000","264,100,000","93,900,000","47,400,000","73,500,000","148,600,000","146,700,000","136,500,000","132,000,000","53,000,000","125,400,000","29,000,000","68,700,000","82,300,000","-44,500,000","-1,800,000","17,400,000","-166,600,000","45,300,000","58,300,000","64,200,000","-35,200,000","104,500,000","31,300,000","78,900,000","-3,200,000","87,000,000","82,800,000","56,100,000","61,600,000","60,300,000","10,200,000","40,100,000"
NetIncomeCommonStockholders,"550,100,000","550,100,000","475,900,000","499,200,000","535,800,000","208,400,000","489,000,000","306,600,000","292,300,000","414,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"	NetIncome","551,500,000","551,500,000","477,400,000","502,100,000","535,800,000","209,100,000","489,000,000","307,500,000","293,900,000","416,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"		NetIncomeIncludingNoncontrollingInterests","550,600,000","550,600,000","480,200,000","511,500,000","538,400,000","211,700,000","498,500,000","322,100,000","308,000,000","435,700,000","382,200,000","184,900,000","228,500,000","321,600,000","142,000,000","139,800,000","124,100,000","164,000,000","29,400,000","69,200,000","-335,400,000","115,200,000","217,700,000","112,700,000","171,300,000","267,600,000","274,700,000","234,800,000","38,800,000","-72,100,000","176,100,000","163,400,000","163,600,000","129,200,000","191,200,000","152,500,000"
"			NetIncomeContinuousOperations","578,900,000","578,900,000","543,500,000","654,900,000","-83,300,000","245,400,000","-177,900,000","411,500,000","467,300,000","465,900,000","414,000,000","218,500,000","257,000,000","329,500,000","156,700,000","144,800,000","111,000,000","175,600,000","39,800,000","69,100,000","-306,300,000","177,300,000","216,000,000","185,300,000","-24,500,000","218,100,000","215,600,000","173,400,000","41,000,000","192,600,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
"			NetIncomeDiscontinuousOperations","-28,300,000","-28,300,000","-63,300,000","-143,400,000","621,700,000","-33,700,000","676,400,000","-89,400,000","-159,300,000","-30,200,000","-31,800,000","-33,600,000","-18,200,000","-24,900,000","-24,300,000","-12,800,000","6,100,000","-15,400,000","-13,300,000","-3,300,000","-30,500,000","-66,700,000","-3,400,000","-42,700,000","191,400,000","-7,400,000",,,,"-73,200,000",,,,,,
"			NetIncomeExtraordinary",,,,,,,,,,,,,,,,,"-500,000",,,,"-900,000",,,"-36,100,000","-4,500,000",,,,,"-183,700,000",,,,,,
"			NetIncomeFromTaxLossCarryforward",,,,,,,,,,,,,"-10,300,000",,,,,,,,,,,,,,,,"-4,700,000","-11,400,000",,,,,,
"		MinorityInterests","900,000","900,000","-2,800,000","-9,400,000","-2,600,000","-2,600,000","-9,500,000","-14,600,000","-14,100,000","-19,500,000","-16,300,000","-12,400,000","-10,300,000","-17,000,000","-9,600,000","-7,800,000","-7,500,000","-3,800,000","-2,900,000","-3,400,000","-2,300,000","-4,600,000","-5,100,000","-6,200,000","-8,900,000","-56,900,000","-59,100,000","-61,400,000","-2,500,000","-3,600,000","-3,000,000","-8,100,000","-6,900,000",,,
"	OtherunderPreferredStockDividend","1,400,000","1,400,000","1,500,000","2,900,000",0,"700,000",0,"900,000","1,600,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"550,100,000","550,100,000","475,900,000","499,200,000","535,800,000","208,400,000","489,000,000","306,600,000","292,300,000","414,200,000","365,900,000","172,500,000","228,500,000","304,600,000","132,400,000","132,000,000","116,600,000","160,200,000","26,500,000","65,800,000","-337,700,000","110,600,000","212,600,000","106,500,000","162,400,000","210,700,000","215,600,000","173,400,000","36,300,000","-75,700,000","173,100,000","155,300,000","156,700,000","129,200,000","191,200,000","152,500,000"
BasicEPS,,,3.64,3.72,3.99,1.56,3.66,2.3,2.16,3.01,2.565,1.19,1.575,2.065,0.88,0.863,0.775,1.108,0.188,0.49,-2.715,0.908,1.688,0.783,1.103,1.385,1.43,1.165,0.126,-0.265,0.618,0.559,0.57,0.473,0.568,0.205
DilutedEPS,,,3.62,3.69,3.99,1.56,3.66,2.29,2.16,3,2.55,1.18,1.56,2.01,0.855,0.835,0.743,1.07,0.188,0.48,-2.715,0.875,1.643,0.763,1.103,1.385,1.43,1.163,0.126,-0.265,0.596,0.538,0.544,0.45,0.565,0.203
BasicAverageShares,,,"130,800,000","134,400,000","134,300,000","133,900,000","133,700,000","133,300,000","135,200,000","137,700,000","142,000,000","144,400,000","144,400,000","147,600,000","150,454,545","153,043,478","150,451,613","144,650,113","141,333,333","134,285,714","124,383,057","121,873,278","125,985,185","136,102,236","147,301,587","152,129,964","150,769,231","148,841,202","144,724,000","143,492,000","141,080,000","139,052,000","137,996,000","137,020,000","180,696,000","180,144,000"
DilutedAverageShares,,,"132,000,000","135,900,000","134,300,000","134,500,000","133,700,000","134,300,000","136,100,000","138,800,000","143,400,000","146,200,000","146,600,000","151,600,000","154,853,801","158,083,832","157,037,037","149,719,626","141,333,333","137,083,333","124,383,057","126,400,000","129,436,834","139,672,131","147,301,587","152,129,964","150,769,231","149,161,290","144,724,000","143,492,000","141,080,000","139,052,000","137,996,000","137,020,000","180,696,000","180,144,000"
