,period.fiscal-year,period.end,revenue,net_income,operating_income,entity.name,entity.cik,asset,current_asset,inventory,current_liability,debt,equity,eps
31,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,12589000.0,58194000.0,112414000,0.96
32,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,22373000.0,12589000.0,58194000.0,110662000,0.96
33,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,11827000.0,53879000.0,112414000,0.96
34,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,11827000.0,53879000.0,110662000,0.96
35,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,11827000.0,58194000.0,112414000,0.96
36,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,11827000.0,58194000.0,110662000,0.96
37,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,12589000.0,53879000.0,112414000,0.96
38,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,12589000.0,53879000.0,110662000,0.96
39,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,12589000.0,58194000.0,112414000,0.96
40,2011,,,7097000,15237000,ALICO INC,0000003545,180035000.0,33836000.0,20831000.0,12589000.0,58194000.0,110662000,0.96
41,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,11827000.0,53879000.0,112414000,0.96
42,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,11827000.0,53879000.0,110662000,0.96
43,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,11827000.0,58194000.0,112414000,0.96
44,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,11827000.0,58194000.0,110662000,0.96
45,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,12589000.0,53879000.0,112414000,0.96
46,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,12589000.0,53879000.0,110662000,0.96
47,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,12589000.0,58194000.0,112414000,0.96
48,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,22373000.0,12589000.0,58194000.0,110662000,0.96
49,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,11827000.0,53879000.0,112414000,0.96
50,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,11827000.0,53879000.0,110662000,0.96
51,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,11827000.0,58194000.0,112414000,0.96
52,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,11827000.0,58194000.0,110662000,0.96
53,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,12589000.0,53879000.0,112414000,0.96
54,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,12589000.0,53879000.0,110662000,0.96
55,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,12589000.0,58194000.0,112414000,0.96
56,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,29181000.0,20831000.0,12589000.0,58194000.0,110662000,0.96
57,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,11827000.0,53879000.0,112414000,0.96
58,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,11827000.0,53879000.0,110662000,0.96
59,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,11827000.0,58194000.0,112414000,0.96
60,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,11827000.0,58194000.0,110662000,0.96
61,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,12589000.0,53879000.0,112414000,0.96
62,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,12589000.0,53879000.0,110662000,0.96
63,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,12589000.0,58194000.0,112414000,0.96
64,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,22373000.0,12589000.0,58194000.0,110662000,0.96
65,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,11827000.0,53879000.0,112414000,0.96
66,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,11827000.0,53879000.0,110662000,0.96
67,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,11827000.0,58194000.0,112414000,0.96
68,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,11827000.0,58194000.0,110662000,0.96
69,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,12589000.0,53879000.0,112414000,0.96
70,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,12589000.0,53879000.0,110662000,0.96
71,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,12589000.0,58194000.0,112414000,0.96
72,2011,,,7097000,15237000,ALICO INC,0000003545,186895000.0,33836000.0,20831000.0,12589000.0,58194000.0,110662000,0.96
73,2010,,,-623000,3465000,Alico Inc,0000003545,188817000.0,37441000.0,18601000.0,7912000.0,72179000.0,105237000,-0.08
74,2009,,,-3649000,-7258000,,,,,,,,106876000,-0.49
