name,ttm,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
NormalizedIncome,"-1,363,171.6","-1,155,371.361","-4,455,155.915","-21,651,659.715","-28,732,313.08","-46,629,544.139","-24,331,510.614","28,945,937.548","29,714,384.17","16,998,995.16","15,832,417.022","20,689,463.4","11,407,456","24,040,101.451","18,213,594","20,638,118","14,062,568","6,736,500.6","4,258,396","-1,202,862"
InterestIncome,,,,,,,,,,,,,"0","47,074",,,,,,
InterestExpense,"2,940,816","3,108,845","3,935,073","1,208,344","2,010,678","1,952,106","3,471,589","4,232,462","4,789,168","3,232,978","2,096,702","712,831","215,652","62,541",,,,,,
NetInterestIncome,"-2,940,816","-3,108,845","-3,935,073","-1,208,344","-2,010,678","-1,952,106","-3,471,589","-4,232,462","-4,789,168","-3,232,978","-2,096,702","-712,831","-215,652","-15,467",,,,,,
EBIT,"1,954,403","-5,245,663","5,486,195","-269,188","-24,273,942","-57,947,678","-52,594,378","36,542,583","48,235,543","27,501,474","28,836,218","16,323,327","7,844,282","28,527,013","19,320,188","23,274,708","16,142,568","6,965,267","5,113,206","628,359"
EBITDA,"32,205,444"
ReconciledCostOfRevenue,"176,335,589","201,697,504","309,608,296","276,249,509","235,687,393","172,495,460","275,631,998","414,570,044","307,680,358","238,167,915","201,250,946","146,268,820","81,796,156","108,614,714","73,213,428","59,873,380","41,335,972","27,400,521","21,989,102","9,852,405"
ReconciledDepreciation,"30,251,041","31,529,892","43,385,287","39,738,406","41,620,740","49,752,222","48,283,328","32,127,926","24,403,158","21,335,874","16,171,041","12,119,505","11,110,237","9,160,340","7,165,115","6,190,325","5,089,049","4,007,341","2,666,595","1,727,140"
NetIncomeFromContinuingOperationNetMinorityInterest,"613,784","-6,878,343","-2,213,120","-18,946,809","-23,527,974","-46,516,796","-42,488,845","21,994,897","36,566,677","17,707,028","18,413,357","17,006,649","11,407,456","25,530,529","18,213,594","20,638,118","14,062,568","6,341,931","4,258,396","-1,202,862"
TotalUnusualItemsExcludingGoodwill,"3,294,926","-6,953,793","3,050,389","3,680,069","5,814,904","145,107","-23,954,267","-10,207,108","8,138,115","969,908","3,765,395","-5,115,020",,"1,661,706",,,,"-657,616",,
TotalUnusualItems,"3,294,926","-6,953,793","3,050,389","3,680,069","5,814,904","145,107","-23,954,267","-10,207,108","8,138,115","969,908","3,765,395","-5,115,020",,"1,661,706",,,,"-657,616",,
NormalizedEBITDA,"28,910,518","33,238,022","45,821,093","35,789,149","11,531,894","-8,340,563","19,643,217","78,877,617","64,500,586","47,867,440","41,241,864","33,557,852","18,954,519","36,025,647","26,485,303","29,465,033","21,231,617","11,630,224","7,779,801","2,355,499"
TaxRateForCalcs,"0.4","0.177","0.265","0.265","0.105","0.223","0.242","0.319","0.158","0.27","0.315","0.28","0.29","0.103","0.054","0.129","0.129","0.4","0.267","0.313"
TaxEffectOfUnusualItems,"1,317,970.4","-1,230,821.361","808,353.085","975,218.285","610,564.92","32,358.861","-5,796,932.614","-3,256,067.452","1,285,822.17","261,875.16","1,184,455.022","-1,432,205.6","0","171,278.451","0","0","0","-263,046.4","0","0"
